abacus n.算盘
aseptic a.无菌的，洁净的
askew a.歪斜的v.歪斜，弯曲
aspect n.方面,样子,外表
asperity n.粗鲁，艰苦
aspirant n.有抱负者,有野心者
aspiration n.渴望，热望,志向,抱负
assert vt.维护;宣称
assess vt.对(财产等)估价
asset n.资产,有用的东西
assiduous a.勤奋的
assuage vt.减轻
assume vt.假定,承担,呈现
astounding a.令人惊骇的
astute a.精明的
asylum n.避难所,疯人院,避难
asymmetrical a.不匀称的,不对称的,不均匀的
atone vi.偿还
atrocious a.残忍的
attenuate vt.使变细
attorney n.代理人,辩护律师
audacious a.大胆的
audible a.听得见的
augur n.占兆官,占卜师,相命者
auspicious a.吉利的
austere a.质朴的；严肃的
authenticity n.确实性,真实性,可靠性
authoritative a.权威的,有权威的,命令式的
autocracy n.独裁政治,独裁政府
avarice n.贪婪
aversion n.厌恶
avid a.渴望的
awash a.与水面齐平的,被浪冲打的
awe n.敬畏
awkward a.难使用的;笨拙的;尴尬的
awl n.锥子,尖钻
awning n.雨篷，遮阳篷
awry a.歪的
babble v.唠叨；说话不清
badge n.徽章,标记
badger vt.纠缠
badinage n.打趣，嘲弄
baffle vt.阻碍,使困惑;n.挡板
bait n.饵,诱惑物;v.装饵;辱骂;欺侮
baleful a.邪恶的，恶意的
balk vt.阻碍
balky a.停蹄不前的
ballad n.民谣
ballast n.压舱物,沙囊,安定,沉着
ballet n.芭蕾舞,芭蕾舞演员
balm n.香油，药膏
bamboozle v.欺骗，隐瞒
ban n.禁令vt.禁止,取缔
banal a.陈腐的
baneful a.有害的,致祸的
banish vt.驱逐,清除
banister n.栏杆的支柱,楼梯的扶栏
barb 尖锐而严厉的批评
barbarous a.野蛮的
barefaced a.公然的,无耻的,无面具的
bargain n.交易vi.议价,成交
baroque 巴洛克式的作风；艺术
barren a.贫瘠的;不结果实的;无益的;无兴趣的
barter vt.作物物交换vi.进行易货贸易；交换
base n.基础,底层,基地
baseboard n.护壁板,脚板
bathetic a.平凡的,陈腐的,顿降的
bedeck vt.装饰
bedlam n.混乱,骚乱,疯人院
belabor vt.痛斥；作过长说明
beleaguer vt.围攻
belie vt.与…不符合；掩饰
belittle vt.贬低
bellicose a.好战的
belligerence n.交战,好战性,斗争性
bellwether n.系铃的公羊,前导,领导者,群众的首领
bemoan v.惋惜,认为遗憾,哀叹
bend vt.使弯曲vi.弯曲
benediction n.祝福
beneficent a.仁慈的,慈善的,善行的
benign a.亲切的；温和的；良性的
bent n.爱好,癖好
bequest n.遗赠物,遗产,遗赠
berate vt.严责
beseech vt.恳求
besmirch v.诽谤，玷污
betray vt.背叛,泄漏,暴露,表现
bibliophile n.爱书者,藏书家
bigot n.(宗教,政治等的)盲信者，顽固者
bit n.一点,一些,小片
bland a.温和的；无味的
blandishment n.奉承
blase a.对享乐[人生]等厌倦的
blast n.爆炸,冲击波vt.炸
blatant a.喧哗的，无耻的
blazon v.以家徽装饰,宣布
bleach n.漂白剂;v.漂白
blemish n.缺点vt.沾污
blight n.植物枯萎病；挫折vt.使枯萎
bliss n.极大的幸福
blunder v.瞎闯,犯愚蠢的错误;n.因疏忽所犯的错误
blunt a.钝的;生硬的;直率的;vt.使钝,把…弄迟钝
blurb n.大肆宣传
blurt v.未加思索地冲口说出,突然说出
bluster v.风狂吹,咆哮,汹涌
boding n.凶兆,前兆,预感
boggle v.犹豫,踌躇,吃惊,搪塞
boisterous a.喧闹的
bolster vt.支撑
bombast n.夸大的言辞
bonhomie (U)好性情,温和,和蔼
bonus n.红利，奖金；意外的收获
boo v.作嘘声,(某人)用嘘声表示不满\蔑视或反对
boon n.恩惠
boor n.粗野的人,不懂礼貌的人,农民
bootless a.无用的,无益者
bore vt.使厌烦,钻孔,挖
bottleneck n.瓶颈,妨碍生产的卡脖子环节
bough n.树枝
box n.箱,盒,包箱
bracing a.使心神清爽的
bracket n.支架,括弧,托架
brackish a.有盐味的,可厌的
braggadocio n.自夸,吹牛大王
braided a.编织成的,梳成辫子的,编成缏的;束
brake n.制动器，车闸，刹车vi.刹车；放慢速度
brash a.性急的,仓促的,无礼的,傲慢的
brassy a.似黄铜的,厚脸皮的
brattish a.(小孩)讨厌的;宠坏的;不听话的;不礼貌的
bravura a.雄壮华丽的,气势磅礴的
bray n.驴叫声,喇叭声
brazen a.厚颜的
breach n.缺口;违背
breezeway n.有屋顶的通路
brevity n.简洁
bribe v.贿赂n.贿赂用的东西，钱
bridle vt.约束
brisk a.轻快的;兴隆的;寒冷而清新的
bristle n.硬毛v.气势汹汹，直立,发怒,充满
brittle a.易碎的,脆弱的
broach vt.提出讨论
bromide n.溴化物(镇静药用)，平庸的人或物
browbeat vt.吓唬，威逼
bruit v.散播
buck n.雄鹿,公羊,美元
bucolic a.乡村的，牧羊的
buffoon n.丑角，缺乏教养之人
bulge n./v.膨胀,肿胀
bully n.恶霸,暴徒;vt.威吓,欺侮
bumper 丰年
bumptious a.瞎自夸的,瞎自大的,傲慢的
bungle vt.拙劣地工作
buoy n.浮标
buoyant a.有浮力的;愉快的;(股市)保持高价的
burgeon v.萌芽,发芽;迅速发展
burial n.葬,埋藏
burlesque n.讽刺或滑稽的戏剧
burnish v.擦亮，磨光
burrow n.(兔子等)所掘的地洞v.挖洞
busybody n.爱管闲事的人,好事的人
butt v.以头抵撞,碰撞
buttress v.支持n.扶墙,拱壁
bygone n.过去的事,往事
byline n.(列作者名字的)报刊文章首行
cabal n.徒党,秘密结社,(尤指政治上的)阴谋
cacophony n.刺耳的声音
cadet n.军官学校学生
cadge v.行乞，乞求
caisson n.弹药箱,弹药车,潜水箱(水中工程用)
cajole vt.哄骗
calamity n.灾难,灾祸
calcify v.变成石灰质,钙化
calibrate v.测定口径,校准,查看刻度,划刻度
calligrapher n.书法家
callous a.无情的
callow a.(鸟)未生羽毛的，(人)未成熟的。
callus n.皮肤的硬结,胼胝,(植物伤口的)愈合组织
calumniate v.诽谤，中伤(a.Calumnious)
camaraderie n.同志之爱,友情
cameo n.刻有浮雕的宝石或贝壳
camouflage vt.伪装
candidate n.候选人,投考者
candor n.公正
cane n.茎,手杖,甘蔗
canon n.教会法规,圣典,准则
canonical a.规范的
canopy n.天篷,遮篷
cantankerous a.脾气坏的，好争吵的
canvas n.粗帆布,油画布
canvass v.游说
canyon n.峡谷
capitulate vi.投降
caprice n.异想天开
caption n.标题
captivate vt.迷住
careworn a.为心事所苦的
caricature n.讽刺(画)；漫画
carouse v.痛饮,畅饮
carp vi.吹毛求疵
cartographer n.绘制地图者
cast vt.投,扔,抛,浇铸
castigation n.申斥，强烈反对
catalyze v.催化
cataract n.大瀑布
catastrophe n.大灾难,大祸
categorical a.绝对的
cater vi.供应伙食;为…提供服务,满足…的要求
catholic a.天主教的n.天主教徒
caustic a.腐蚀性的;苛刻的,刻薄的
cavalier n.骑士,武士,对女人献殷勤,有礼貌的绅士
caveat n.警告;防止误解的说明
cavern n.大洞穴
cavil v.挑毛病，吹毛求疵
cavort v.腾跃
cede vt.割让
celebrity n.名人
cement n.水泥；胶泥，胶接剂v.胶合；巩固，加强
censor n./vt.审查,审查员;删改
censorious a.受批判的,挑剔的
censure n.非难
census n.户口普查
centrifuge n.离心分离机
ceramic a.陶器的,陶瓷的
ceremony n.典礼,仪式,礼节
certitude n.确实,确信
cessation n.中止，(短暂的)停止
chaff n.谷壳,糠,揶揄vt.打趣,开玩笑
chagrin n.懊恼
chameleon n.变色龙,善变的人,轻浮的人
champion n.冠军
chaotic a.混乱的,无秩序的
charade n.看手势猜字谜游戏
charlatan n.吹牛者
chary 谨慎的
chasm n.断层,裂口;巨大分歧,差别
check n.支票
chef n.厨师
chevron n.山形袖章,回文状雕饰
chiaroscuro n.(绘画)明暗对照法;用明暗对照法绘的图画
chic n./a.漂亮(的),时式(的)
chicanery n.欺诈，欺骗
chide vt.责骂
chip n.薄片,碎片
choke v.闷塞,压抑,闷死
choleric a.易怒的，暴躁的
chord n.弦,和弦
choreography n.舞蹈，舞蹈编排
chronic a.(疾病)慢性的,延续很长的
chronicle n.编年史
chronological a.按时间顺序的
churlish a.脾气暴躁的,粗野的
cinder n.煤渣,灰烬
cipher n.暗号,密码;
circuitous a.迂回的，间接的
circumference n.圆周,圆周长度
circumlocutory a.委婉曲折的,迂回的(n.circumlocution)
circumscribe vt.在…周围画线；限制
circumspect a.慎重的
circumvent v.绕行,陷害,包围,智取
cistern n.贮水器,水槽,水箱
citation n.引用,引证,引用文,传票
civility n.礼貌，文明
clairvoyant a.透视的,有洞察力的
clamp n./v.螺丝钳;用钳夹;取缔
clandestine a.秘密的
clarion n.尖音号角a.清澈响亮的
clarity n.清楚,透明
clasp n./v.扣子;紧握;拥抱
claustrophobia n.[医]幽闭恐怖症
cleft n.裂缝
clement a.仁慈的，温和的
cliche n.陈腐思想,陈词滥调
clique n.朋党派系，小集团
clog vt.阻塞
closet n.小储藏室
clot vt.凝块
cloudburst n.倾盆大雨,豪雨
clout n.权力,势力
cloying a.甜得发腻的,令人腻烦的
clumsy a.笨手笨脚；不圆滑的，缺乏技巧的
coagulant n.凝结剂
coalesce v.合并,联合,结合
coarse a.粗糙的，粗劣的；粗鲁的，粗俗的
coax vt.哄骗
coda n.终结句,乐章结尾部,完结部
coeval a.同年龄的，同时代的
cogent a.令人信服的
cognizant a.已认识,既知道,晓得
colander n.滤器，漏勺
collapse vi.倒坍,崩溃,瓦解
collude v.串通，共谋
colonnade n.柱廊
colossal a.庞大的
coma n.昏迷
combustible a.易燃的,可燃的;n.易燃物,可燃物
comely n.清秀,美丽,合宜
comity n.礼让,礼仪,团结,联合
commencement n.开始,毕业典礼
commend vt.称赞;推荐;委托保管
commensurate a.同样大小的，相称的
commercial a.商业的,商品化的
commitment n.委托,实行,承担义务,赞助
committed a.[在…方面]受约束的,[in]献身于,致力于
commodious a.宽敞的
commonsense a.具有常识的
commotion n.混乱,动乱
compendium n.简要，概略
compensate vt.补偿，赔偿；酬报vi.弥补；补偿；抵消
complaisance n.彬彬有礼,殷勤,柔顺
compliant a.顺从的
compliment n.敬意,赞扬;问候;vt.恭维;称赞
comply vi.遵从
composed a.沉着的
compress vt.压紧，压缩；(把思想、文字等)浓缩
compromise n.妥协,和解
compunction n.良心的责备,后悔,悔恨
concatenate v.连结，连锁
concede vt.承认,退让vi.让步
concentrate vt.集中,聚集,浓缩
concerto n.协奏曲
conciliate vt.安抚
conciseness n.简明;简洁
concomitant a.相伴,伴随的,共存的n.伴随物
concord n.协调
concur vi.同意；同时发生
condemn vt.谴责
condescending a.施恩似的，谦逊的
condign a.相当的,适宜的
condone vt.宽恕
conducive a.有益于…的,有助于…的
confess vt.承认，坦白vi.承认，坦白，忏悔
confidant n.心腹朋友,知己
confident n.确信的,自信的
confine vt.限制;禁闭
confluence n.汇合
conform v.符合,遵从
confront vt.使面对,使对证
congeal v.凝结，凝固
congenial a.相宜的
congruent a.全等的
conjecture n.推测
connive v.默许,纵容,暗中合作,密谋策划
connoisseur n.鉴赏家，行家
conquest n.征服
conscientious a.认真的
consensus n.一致,交感,,团结
conservative a.保守的n.保守的人
conservatory n.温室,音乐学院a.保存性的,有保存力的
conserve vt.保存,保藏;节约;n.果酱,蜜饯
considerable a.相当大的,重要的
consign vt.运送,交付
console vt.安慰,慰问;n.控制台,仪表板;落地柜
consolidate v.巩固,加强;把…合为一体
consonance n.一致,调和,和音
conspicuous a.明显的,引人注目的
conspiracy n.阴谋,同谋
constellation 星座
constitute vt.构成
constrained a.被强迫的,拘泥的,不舒服的
constringe v.使收缩,使收敛,压缩
consult vt.请教,查阅
consummate a.圆满的
contagious a.传染的
contaminate vt.弄脏,污染
contemplate vt.仔细考虑;注视;打算;预计
contempt n.轻蔑,不尊敬,轻视
content a.满意的,满足的
contentious a.好辩的，喜争吵的
contingent a.意外的；有条件的
contortion n.扭弯,扭歪,曲解
contradictory a.反驳的,反对的,抗辩的
contravene vt.违反
contrite a.忏悔的
contrived a.做作的,不自然的,勉强的
control vt.控制,克制n.控制
contumacious a.违抗的，不服从的
conundrum n.(答案有双关意义的)谜语,难题
convalesce v.渐渐康复,渐愈
convenience n.方便，便利；有益的工具；便利设备；公厕
convention n.习俗,惯例,公约
conventional a.普通的,习惯的
convergent a.趋集于一点的,会聚性的,收敛的
conversant a.亲近的,有交情的,熟悉的
convert vt.使转变,使改变
convex a.表面弯曲如球的外侧,凸起的
convey vt.传送；运送，输送；传达，表达，传播
conviction n.定罪
convivial a.欢宴的,欢乐的
convoke v.召集会议
convoluted a.旋绕的，费解的
convulsion n.骚动，痉挛
coop n.小屋,鸡笼,捕鱼笼
copious a.丰富的
cord n.绳索,束缚，木料计量单位
cordon n.哨兵线,非常警戒线,饰带
cornucopia n.象征丰收的羊角(羊角内装花示富饶)
coronation n.加冕，加冕礼
corporeal a.肉体的,有形的,物质的
corral v.占有，围住n.畜栏
corroborate vt.确证
corrosive a.腐蚀的
cosmopolitan a.全世界的,世界主义的
cosset v.宠爱，娇养
coterie n.(有共同兴趣的)小团体，小圈子
countenance n.面容；赞同
counterfeit a.伪造的n.伪造物vt.伪造，仿制
counterpart n.副本,复本,配对物
court n.法庭
courtesy n.礼貌,谦恭
covetous a.贪心的
cow n.母牛
cowardice n.懦弱
cower vi.畏缩
craft n.工艺,手艺,行业
cramp a.狭窄的,难解的
crass a.粗糙,粗厚的;愚钝的;极度的,非常的
craven adj.懦弱的，畏缩的
craving n.渴望,热望
credence n.信任
credulous a.轻信的
creek n.小溪,小河,小湾
creep vi.慢慢地、悄悄地移动;(时间、年纪)悄悄过去;蔓延
crescendo n.(音乐)渐强，高潮
crest n.鸡冠,顶饰;
crestfallen 冠毛垂倒,(喻)垂头丧气的
criterion n.判断的标准(pl.ria)
crockery n.陶器,瓦器
cronyism n.任人唯亲,裙带关系
croon v.低声歌唱，低吟
crouch vi./n.蹲伏
crown n.王冠
crucial a.决定性的,重要的,严厉的
crude a.简陋的；天然的，未加工的；粗鲁(俗)的
crutch n.拐杖,支撑,帮助
crux n.十字架形,关键,难题
cryptic a.神秘的
cuisine n.烹调
culpable a.应受惩罚的
cultivated a.耕耘的,栽植的,有教养的
cumbersome a.笨重的,不便携带的
cunning a.狡猾的，奸诈的n.狡猾，奸诈
curator n.管理者
curmudgeon n.乖戾的(老)人,脾气坏的人,爱争吵的家伙
curriculum n.学校的课程
cursory a.匆促的
curt a.唐突的
curtail vt.截短,削减
cyclone n.旋风
cynical a.冷嘲热讽的,愤世嫉俗的
dabble v.玩水,泼溅,涉猎
daft a.傻的，愚蠢的
dally v.戏耍,玩弄,赋闲
damp a./n./v.潮湿(的),湿气,使潮湿
dandy n.花花公子，好打扮的人
dank a.阴湿的
dapper a.整洁漂亮的
dappled a.斑纹的,花的
daredevil n.铤而走险的人,不怕死的人
dart n.标,镖;vt.投掷;vi.急冲
daunt vt.威吓
dawdle v.v.游手好闲,混日子
deactivate v.解除动员,复员,使无效,使不活动
deadpan a.无表情的脸
dearth n.缺乏,供应不足
debark vt.使登陆,卸载,使下船
debase v.贬低，贬损
debilitate v.使衰弱
debonair a.殷勤的,高兴的,快活的,温文尔雅的
debris n.碎片,瓦砾堆,残骸
debunk v.揭穿真相，暴露
debut n.初次登台，初次露面
decadence n.衰落，颓废
decant vt.轻轻倒出,移入其他容器
decelerate v.(使)减速
decibel n.分贝(音量的单位)
decode v.解码,译解
decorum n.礼仪
decrepit a.老弱的,衰老的
dedication n.奉献,致力,献辞
default n./v.拖欠，违约，欠缺，默认，缺省
deference n.敬意，尊重
deficiency n.缺乏,不足;缺陷
defile vt.弄脏,污损
definitive a.可靠的,权威的;决定性的
defoliate v.v.(使)落叶
defraud vt.欺诈(个人或公司财产)
deft a.灵巧的,熟练的
defuse v.放松，抚慰，减轻
defy vt.公然反抗；向…挑战；使不能
dehydrate vi.(使)脱水
deify vt.把…神化
deject v.使沮丧,使灰心
deleterious a.有害的
deliberate a.深思熟虑的,审慎的
delicacy n.细软,精致,精美的食品,娇气
delinquent a.疏忽的；拖欠的；犯法的
delirium n.神智昏迷,说胡话;极度兴奋
delude vt.欺骗
deluge n./vt.洪水,暴雨,使泛滥
delve v.v.探究,查考
demagogue n.煽动者,群众煽动者
demanding a.过分要求的,苛求的
demise n.死
demography n.人口统计学
demolition n.破坏,毁坏,毁坏之遗迹
demoralize v.使道德颓废,使堕落,挫折锐气
demotic a.通俗的
demur vi.反对
denigrate v.使变黑,玷污,诋毁
denouement n.(小说的)结尾,结局
denounce vt.谴责,斥责
dent n.凹,凹痕,(齿轮的)齿,弱点
denude v.脱去，剥蚀，剥夺
depart vi.(火车)开出，(人)离开，起程
depict vt.描绘,描写
deplete vt.耗尽,用尽
deplore vt.谴责,强烈反对
deploy vt.vi.展开,配置
deportation n.驱逐,放逐
depose vt.免职；宣誓作证
deposit vt.使沉淀,存放
depravity n.堕落,腐败,邪恶
deprecate v.声明不赞成,抨击,反对
depreciate vt.贬低
depress vt.使沮丧;使萧条;压下;降低
deprivation n.剥夺,剥夺官职,免职
deracinate v.根除,灭绝,使孤立
derelict a.遗弃的
deride vt.嘲笑
derivative a.派生的，无创意的
derogatory a.贬损的
descendant n.后代，后裔
descent n.降落,家系,侵袭,血统
desecrate v.供俗用,亵渎,污辱
desert n.沙漠vt.离弃,擅离
desiccate 使干
designate vt.把…定名为,指派,标出
despair vi.灰心丧气，感到沮丧绝望n.绝望，沮丧
despicable a.可鄙的
despise vt.轻视
despondent a.沮丧的
dessert 甜点
desultory a.散漫的,断断续续的,不连贯的
detach vt.使分开,拆卸;派遣
detain vt.耽搁,延迟;拘留,扣押
deter vt.阻止,使不敢,吓住
detestable a.嫌恶的,可憎的,可厌恶的
detract vi.贬低
detritus n.碎石
deviation n.背离
devise vt.设计,想出
devoted a.投入的,深爱的
devout a.虔诚的
diagnose vt.诊断
diaphanous a.(布)精致的，半透明的
diatribe n.(口头或书面猛烈的)抨击,抨击性演说
didactic a.教诲的、说教的
diehard n.顽固分子
diffident a.羞怯的
diffuse v.散布,传播;扩散;a.扩散的;冗长的
digit n.数字,位数,指头
dignity n.高贵,尊贵,高位
digress vi.离题
dilapidate v.v.(使)荒废,(使)毁坏
dilate vi.使膨胀
dilatory a.拖拉的
dilettante n.半瓶醋，业余爱好者
diligent a.勤勉的，勤奋的，用功的
dilute vt.使变淡,稀释;a.稀释的
din n./v.喧闹,嘈杂
dingus n.(俚)新发明品;新玩意儿
dingy a.脏的,邋遢的
diocesan a.主教管区的
dire a.可怕的,悲惨的,阴惨的,极端的
dirge n.哀歌、凄凉之曲调?
disabuse v.打消(某人)的错误念头，纠正
disaffected a.(政治上)不满的，叛离的
disagreeable a.不愉快的,厌恶的,不为人喜的
disarm vt.解除武装,缓和vi.放下武器
disavow v.否认,否定,抵赖
discard vt.抛弃,遗弃
discernible a.可辨别的
discerning a.有洞察力的,眼力好的,眼光敏锐的
discharge v.&n.排出，放出；允许…离开，释放；放电
disciple n.弟子,门徒
disclaim vt.否认
discography (按作曲[演奏/演唱]家分类之)音乐唱片目录
discommode v.使不方便,使为难
discompose vt.使不安
disconcert vt.使仓皇失措
discord n.不和,争吵;(声音)不谐和
discourse n.演讲
discrepancy n.不一致,差异,不符
discretion n.谨慎；随意处理
discretionary a.随意的,自由裁量的
discriminate v.区别,区分;歧视
discursive a.散漫的，无层次的
disdain vt./n.蔑视,轻视
disengage v.使自由,解放,解开
disgorge v.呕出，(水)流走
disguise vt.把…假扮起来n.伪装物；假装，伪装
disgust n./vt.厌恶,讨厌
dishevel v.使蓬乱,使头发凌乱
disinclination n.不起劲,不感兴趣,厌恶
disinfect v.消毒
disinterested a.公平的；无私的
disjunctive a.可分的,分离的,分隔的
dismantle vt.拆毁
disparage vt.贬低
disparate a.迥然不同的，不可并论的(n.Disparity)
dispassionate a.平心静气的
dispatch v./n.(=despatch)派遣,发送,迅速办理,急件
disposal n.处理,排列,支配,布置，废料
disquiet n./v.担心，焦虑
disrupt vt.使分裂,瓦解;使中断;混乱
dissect vt.解剖，分析
dissemble vt.掩饰
dissension n.意见不合,纠纷,倾轧
dissent vi.持异议,不同意
dissertation n.(博士学位)论文,学术演讲,专题论文
dissipate v.消散,消失;浪费,挥霍
dissociate v.v.分离,游离,分裂
dissolute a.放荡的，无节制的
dissolve v.(使)溶解，融化；解放，取消；(使)衰弱
dissonance n.不和谐(的音调)
dissuade v.劝阻
distention n.膨胀
distillation 蒸馏
distinction n.区别；卓越
distinguished a.卓著的,著名的
distort vt.扭曲,使变形;歪曲,曲解
distract vt.使分心
distraught a.烦扰的
ditch n.沟，渠道vt.在…上开沟；摆脱，抛弃
diurnal a.白昼的，白天的
diverge vi.分歧
divert vt.使转向,使改道(或绕道);转移,转移…的注意力;使娱乐,使消遣
divestiture n.剥夺，脱衣
divulge vt.泄漏
doctrine n.教条,教义
dodder v.摇摆,蹒跚n.菟丝子
doff v.脱,丢弃,废除
dogged a.顽固的,顽强的
doggerel a.歪诗的，打油诗
doggo ad.(俚)(一动不动地)隐藏着
dogma n.教条
doldrums n.(海洋上的)无风带，情绪低沉
dolorous a.悲哀的，忧愁的
domicile n.住所,住宅vt.定居
domination n.支配,控制,管辖
don v.穿上
donor n.捐赠人
doodle n.v.乱写，乱画
dour a.不爱讲话的,沉沉的,严厉的,
downpour n.倾盆大雨
