Africa n.非洲
Scandinavian n.(北欧一地区,包括挪威、瑞典、丹麦、冰岛的)斯堪的纳维亚人[语
Scotch n.苏格兰人,苏格兰语adj.苏格兰人的,苏格兰语的n.刻痕vt.镇压,粉碎,刻痕,使受伤
Scotland n.苏格兰(英国的一部分,在不列颠北部)
Scots n.苏格兰人[语adj.苏格兰的,苏格兰人[语]的
Scotsman n.苏格兰人，苏格兰男人
Scotswoman n.苏格兰人，苏格兰女人
Scottish adj.苏格兰的,苏格兰人的
September n.九月(略作Sep)
She 禽族,禽族人
Soviet adj.苏联的
Spain n.西班牙(欧洲南部国家)
Spaniard n.西班牙人
Spanish a.西班牙的n.西班牙人
Sunday n.星期日
Swede n.瑞典人
Sweden n.瑞典
Swiss a.瑞士的，瑞士人的
Switzerland n.瑞士(欧洲中部国家)
Sydney n.悉尼
Thursday n.星期四
Tory n.保守党党员,保皇党人adj.保守分子的
Tuesday n.星期二
Tyre 提尔(古代腓尼基Phoenicia的有名港口,现属黎巴嫩)
UFO n.不明飞行物
Utopia n.乌托邦,理想的完美境界,空想的社会改良计划
Valentine 瓦伦丁(姓氏)
Venus n.金星
Wednesday n.星期三
Welsh adj.（英国）威尔士(Welsh)的
Xerox 施乐复印机（商标名称）
Yahoo 美国Yahoo公司,提供Internet上的目录信息检索服务
Yankee n.<美>美国人,美国佬
Yearly ['jiəli] a.每年的ad.一年一度
Yugoslavia n.南斯拉夫
Yugoslavian n.南斯拉夫人,南斯拉夫adj.南斯拉夫人的
Zeus n.[希神]宙斯
Zion n.原意：耶路撒冷的一个迦南要塞,后指锡安
Zionism 犹太复国主义
Zulu n.祖鲁族人[语adj.祖鲁族人[语]的,(无线电
Zurich n.苏黎世
a [ei] art.一n.字母A
aardvark ['ɑ:dvɑ:k] n.[动]土豚
aardwolf ['ɑ:dwulf] n.[动]土狼
abaca [,ɑ:bə'kɑ:] n.[植]马尼拉麻,麻蕉
aback [ə'bæk] adv.向后地
abacus ['æbəkəs] n.算盘
abaft [ə'bæft] adv.向船尾prep.在...后
abalone [,æbə'ləuni] n.<美>[动]鲍鱼(软体动物)
abandon [ə'bændən] vt.放弃,遗弃n.放任,狂热
abandoned [ə'bændənd] adj.被抛弃的,自甘堕落的,没有约束的,放
abandonment [ə'bændənmənt] n.放弃
abase [ə'beis] v.降低
abasement [ə'beismənt] n.降低
abash [ə'bæʃ] vt.使局促不安,使困窘
abashed [ə'bæʃt] adj.不安的,窘迫的
abask adv.暖洋洋地
abate [ə'beit] vt.使(数量、程度等)减少,减轻,除去,缓
abatement [ə'beitmənt] n.消除
abatis ['æbətis] n.鹿砦,铁丝网
abattoir ['æbətwɑ:] n.屠宰场，角斗场
abaxial [æb'æksiəl] adj.离轴的
abbacy ['æbəsi] n.男修道院院长的职位、管区、任期
abbatial [ə'beiʃəl] adj.修道院长的
abbe ['æbei] n.男修道院院长,僧侣,神父
abbess ['æbis] n.女修道院院长,女庵主持
abbey ['æbi] n.修道院,修道士（总称）
abbot ['æbət] n.修道院,修道士的总称
abbreviate [ə'bri:vieit] v.缩写,缩短,简化,简写成,缩写为
abbreviation [ə,bri:vi'eiʃən] n.缩写,缩写词
abbreviator [ə'bri:vi,eitə] n.缩写者
abdicate ['æbdikeit] v.退位,放弃(职位,权力等)
abdication [,æbdi'keiʃən] n.退位,让位
abdomen ['æbdəmen] n.腹,腹部
abdominal [æb'dɔminəl] adj.腹部的
abdominally 腹
abdominous [æb'dɔminəs] adj.大肚子的,肥胖的
abduce [æb'dju:s] v.[生理]使外转,外展,把.引开
abducent [æb'dju:sənt] adj.向外扩展的
abduct [æb'dʌkt] vt.诱拐,绑架
abduction [æb'dʌkʃən] n.诱拐n.诱导
abductor [æb'dʌktə] n.诱拐者
abeam [ə'bi:m] adv.adj.与船的龙骨成直角
abecedarian [,eibi:si:'dɛəriən] n.初学者,学字母者adj.字母的,初步的
abed [ə'bed] adv.在床上,卧病在床
abele [ə'bi:l] n.[植]银白杨(=whitepoplar)
abelmosk ['eibəl,mɔsk] n.[植]黄葵
abend 异常结束,异常终止
aberrance [æ'berəns] n.脱离正道,越轨,反常,[生物]变异,畸变
aberrant [æ'berənt] adj.异常的
aberration [,æbə'reiʃən] n.失常
abet [ə'bet] vt.教唆,煽动,帮助,支持
abetment [ə'betmənt] n.教唆,煽动,帮助,支持
abettor [ə'betə] n.教唆犯
abeyance [ə'beiəns] n.中止，暂搁
abeyant [ə'beiənt] adj.中止的,暂时搁置的
abhor [əb'hɔ:] vt.憎恶,痛恨
abhorrence [əb'hɔ:rəns] n.痛恨,憎恶
abhorrent [əb'hɔ:rənt] adj.可恨的，可厌的
abidance [ə'baidəns] n.持续,遵守,居住
abide [ə'baid] vi.坚持,遵守vt.忍受,容忍
abiding [ə'baidiŋ] v.容忍adj.持久的
abigail ['æbigeil] n.(贵妇人的贴身)使女
ability [ə'biliti] n.能力,才干
abiogenesis [,eibaiəu'dʒenisis] n.自然发生
abiotic [,eibai'ɔtik] adj.无生命的,非生物的
abject ['æbdʒekt] adj.卑鄙的,可怜的
abjection [æb'dʒekʃən] n.卑鄙,抛弃,驱逐，落魄
abjectly ['æbdʒektli] adv.悲惨地,卑鄙地
abjuration [,æbdʒuə'reiʃən] n.放弃,发誓断绝
abjure [əb'dʒuə] v.誓绝，弃绝
ablate [æb'leit] v.融化
ablation [æb'leiʃən] n.消融,切除
ablative ['æblətiv] adj.离格的n.离格
ablaut ['æblaut] n.[语音]元音变换
ablaze [ə'bleiz] adj.adv.着火的,激动的,闪耀的
able ['eibl] adj.能...的,有才能的,能干的,能够的
able-bodied ['eibl'bɔdid] adj.强壮的
abloom [ə'blu:m] adv.开花adj.开花的
ablution [əb'lu:ʃən] n.（宗教的）净礼，沐浴
ably ['eibli] adv.能干地,巧妙地
abnegate ['æbnigeit] v.放弃
abnegation [,æbni'geiʃən] n.放弃
abnormal [æb'nɔ:məl] adj.反常的,变态的
abnormality [,æbnɔ:'mæliti] n.变态n.畸形,异常性
abnormally [æb'nɔ:məli] adv.反常地,不规则地
abnormity [æb'nɔ:miti] n.异常,不规则,异形
aboard [ə'bɔ:d] adv.在船(飞机、车)上,上船(飞机、车)pre
abode [ə'bəud] n.住所,住处
abolish [ə'bɔliʃ] vt.废止,废除(法律、制度、习俗等)
abolition [,æbə'liʃən] n.废除,废除奴隶制度
abolitionism [,æbə'liʃənizəm] n.废除主义,废奴主义
abolitionist [,æbə'liʃənist] n.废除主义者,废奴主义者
abomasum [,æbəu'meisəm] n.皱胃(反刍动物胃的第四部分)
abominable [ə'bɔminəbl] adj.讨厌的,令人憎恶的
abominably [ə'bɔminəbli] adv.可恶地,可恨地,极端地
abominate [ə'bɑmineit] vt.痛恨,憎恶
abomination [ə,bɔmi'neiʃən] n.憎恨,厌恶,可憎的事物
aboral [æ'bɔ:rəl] adj.离口的,对口的
aboriginal [,æbə'ridʒənəl] adj.土著的,原来的n.土著居民
aborigine [æbə'ridʒini:] 
aborigines [,æbə'ridʒini:z] n.土著,原居民,(Aborigines)澳大利亚土著
aborning [ə'bɔ:niŋ] adj.产生中的
abort [ə'bɔ:t] vi.异常中断,中途失败,夭折,流产,发育不全n.中止计划[任务
abortifacient [ə,bɔ:tə'feiʃənt] n.[医]堕胎药adj.堕胎的
abortion [ə'bɔ:ʃən] n.流产,堕胎,失败,夭折,中止,早产
abortionist [ə'bɔ:ʃənist] n.(尤指非法)为人堕胎者
abortive [ə'bɔ:tiv] adj.早产的,流产的,失败的adj.夭折的,异
abound [ə'baund] vi.多,大量存在,富于,充满
about [ə'baut] adv.附近,大约,转向,左右,周围prep.在附近,关于,在...周围,忙于
above [ə'bʌv] all尤其是，最主要的是
above-mentioned [ə'bʌv'menʃənd] adj.上述的
aboveboard [ə'bʌv'bɔ:d] adj.光明正大的
abracadabra [,æbrəkə'dæbrə] n.咒语，胡言乱语
abradant [ə'breidənt] adj.摩擦着的n.磨蚀剂
abrade [ə'breid] v.磨损，擦伤
abraded [ə'breid] 磨损
abranchiate [ə'bræŋkieit] n.[动]无鳃动物
abrasion [ə'breiʒən] n.表面磨损
abrasive [ə'breisiv] n.研磨剂adj.研磨的
abreact [,æbri'ækt] vt.使消散,发泄(被压抑的情感等)
abreast [ə'brest] adv.并肩地,并排地
abridge [ə'bridʒ] v.删节,削减,精简
abridgement [ə'bridʒmənt] n.删节,缩短,删节本
abridgment [ə'bridʒmənt] n.删节,节略,删节本
abroach [ə'brəutʃ] adv.开个口使水流出adj.开口的
abroad [ə'brɔ:d] adv.往国外,到处,海外,广泛,差得远,心里没有谱
abrogate ['æbrəugeit] v.废止，废除
abrogation [,æbrə'geiʃn] n.废除,取消
abrupt [ə'brʌpt] adj.突然的,陡峭的,生硬的
abruption [ə'brʌpʃən] n.分裂,分离
abruptly [ə'brʌptli] adv.突然地,唐突地
abruptness [ə'brʌptnis] n.突然,唐突,(举止,言谈等的)粗鲁无理
abscess ['æbsis] n.脓肿,砂眼
abscise [æb'saiz] vt.切除vi.被切除,脱离
abscissa [æb'sisə] n.横坐标
abscission [æb'siʒən] n.切断,除去
abscond [æb'skɔnd] vi.潜逃,避债
absence ['æbsns] n.不在,缺席,缺乏,没有
absent ['æbsənt] adj.不在的,缺席的,缺少的vt.缺席
absent-minded ['æbsnt'maindid] adj.心不在焉的,出神的
absentee [,æbsn'ti:] n.缺席者,未上班者
absenteeism [,æbsən'ti:izəm] n.旷课,旷工
absently ['æbsəntli] adv.心不在焉地,茫然地
absentminded ['æbsənt'maindid] adj.心不在焉的,茫然的,恍惚的
absentmindedness 心不在焉
absinth ['æbsinθ] n.苦艾酒
absinthe ['æbsinθ] n.苦艾酒,[植]苦艾
absolute ['æbsəlu:t] adj.完全的,绝对的
absolutely ['æbsəlu:tli] adv.完全地,绝对地
absolution [,æbsə'lu:ʃən] n.免罪,赦免
absolutism ['æbsəlu:tizəm] n.专制主义,绝对论
absolve [əb'zɔlv] v.宣布免除
absonant ['æbsənənt] adj.不协调的,不和谐的
absorb [əb'sɔ:b] vt.吸收,吸引
absorbability [əb,sɔ:bə'biliti] n.吸收,可吸收性
absorbant adj.能吸收的n.吸收剂
absorbed [əb'sɔ:bd] adj.全神贯注的,一心一意的
absorbency [əb'sɔ:bənsi] n.吸收性,吸光度n.吸收性,吸收能力,[物][
absorbent [əb'sɔ:bənt] adj.能吸收的n.吸收剂
absorber [əb'sɔ:bə] n.吸收者,吸收体,减震器
absorbing [əb'sɔ:biŋ] adj.吸引人的,非常有趣的
absorptance [əb'sɔ:ptəns] n.[物]吸收比
absorption [əb'sɔ:pʃən] n.吸收
absorptive [əb'sɔ:ptiv] adj.吸收性的,有吸收力的
abstain [əb'stein] v.禁绝,放弃
abstemious [æb'sti:miəs] adj.有节制的，节俭的
abstention [æb'stenʃən] n.节制
abstinence ['æbstinəns] n.节制,节欲,戒酒
abstinent ['æbstinənt] adj.饮食有度的,有节制的,禁欲的n.禁欲者
abstract ['æbstrækt] n.摘要,概要,抽象adj.抽象的,深奥的,理论的vt.摘要,提炼,抽象化
abstracted [æb'stræktid] adj.心不在焉的,出神的
abstraction [æb'strækʃən] n.提取
abstractionism [æb'strækʃənizəm] n.抽象派艺术
abstractive [æb'stræktiv] adj.具有抽象能力的,摘要式的
abstractness 抽象性
abstriction n.[植]缢离作用
abstruse [æb'stru:s] adj.难懂的，深奥的
absurd [əb'sə:d] adj.荒谬的,可笑的
absurdity [əb'sə:diti] n.荒谬,谬论
abulia [ə'bju:liə] n.意志力丧失
abundance [ə'bʌndəns] n.丰富,充裕,丰富充裕
abundant [ə'bʌndənt] adj.丰富的,充裕的,丰富,盛产,富于
abuse [ə'bju:z] n.滥用,虐待,辱骂,陋习,弊端v.滥用,虐待,辱骂
abusive [ə'bju:siv] adj.辱骂的,滥用的
abut [ə'bʌt] v.邻接,毗邻
abutilon [ə'bju:tilən] n.白麻属植物
abutment [ə'bʌtmənt] n.邻接,桥礅
aby [ə'bai] v.赎(罪),偿
abysm [ə'bizəm] n.深渊,无底洞
abysmal [ə'bizməl] adj.极深的，糟透的
abysmally [ə'bizməli] 深不可测
abyss [ə'bis] n.深渊
abyssal [ə'bisəl] adj.深渊的,深海的
acacia [ə'keiʃə] n.阿拉伯树胶
academe [,ækə'di:m] n.研究院,学会(=academy),学术界,学院
academic [,ækə'demik] adj.学院的,理论的
academician [ə,kædə'miʃən] n.学会会员,院士,大学生,学者
academicism [,ækə'demi,sizəm] n.艺术院的作风,形成主义
academy [ə'kædəmi] n.(高等)专科院校,研究院,学会,学术团体
acaleph n.[动]水母
acanthoid [ə'kænθɔid] adj.棘状的,刺状的
acanthopterygian [,ækən,θɔptə'ridʒiən] n.棘鳍类的鱼adj.棘鳍类的
acanthus [ə'kænθəs] n.[建]叶形的装饰板
acariasis [,ækə'raiəsis] n.疥癣,疥虫病
acarid ['ækərid] n.[动]螨
acaroid adj.螨的螨状的
acarpous [ei'kɑ:pəs] adj.[植]不结果的,无果实的
acarus ['ækərəs] n.[动]螨
acatalectic [æ,kætə'lektik] adj.(诗行)音节数完整的
acaudal [e'kɔ:dəl] adj.[动]无尾的
acaulescent [,ækɔ:'lesnt] adj.[植]无茎的
accede [æk'si:d] v.同意,加入,同意
accelerando [æk,selə'rændəu] adj.[乐]渐速的adv.[乐]渐速地n.[乐]渐速
accelerate [æk'seləreit] v.加速,促进
accelerating [æk'seləreit] 加速(的),促进的催化的
acceleration [æk,selə'reiʃən] n.加速度
accelerative [æk'selərətiv] adj.加速的,催促的
accelerator [æk'selə,reitə] n.加速者,加速器
accelerometer [æk,selə'rɔmitə] n.加速计
accent ['æksənt] n.重音,口音,重音符
accentual [æk'sentjuəl] adj.重音的,有抑扬的
accentuate [æk'sentʃueit] v.重读,强调,着重强调
accentuation [æk,sentju'eiʃən] n.重读,强调
accept [ək'sept] vt.接受,认可,承担,承兑vi.同意,承认
acceptability [ək'septə'biliti] n.可接受性
acceptable [ək'septəbl] adj.可接受的,合意的
acceptably [ək'septəbli] adv.可以接受地
acceptance [ək'septəns] n.接受,承诺,容忍,赞同,相信
acceptant [ək'septənt] adj.容易接受的
acceptation [,æksep'teiʃən] n.意义
accepted [ək'septid] adj.一般承认的,公认的
accepter [ək'septə] n.接受人,承诺人
acceptive [ək'septiv] adj.易接纳的,可领受的
acceptor [ək'septə] n.接受者,接收器
access ['ækses] n.通路,访问,入门vt.存取,接近
accessary [æk'sesəri] n.[律]同谋,帮凶,从犯adj.同谋的,帮凶
accessibility [æk,sesi'biliti] n.易接近,可到达的
accessible [æk'sesəbl] adj.易接近的,可到达的,易受影响的,可理解的
accession [æk'seʃən] n.就职,就任,添加,增加
accessorial ['æksə'sɔ:riəl] adj.附属的,辅助的,增加的,补充的
accessory [æk'sesəri] n.附件,零件,附加物,从犯,同谋者adj.附属的,补充的,同谋的,副的
acciaccatura [ɑ:,tʃɑ:kə'tu:rə] n.<意>[音]短倚音
accidence ['æksidəns] n.入门
accident ['æksidənt] n.意外事件,事故
accidental [,æksi'dentl] adj.意外的,非主要的,附属的n.非本质属
accidentally [,æksi'dentəli] adv.偶然地,意外地
accipiter [æk'sipitə] n.鹰类,猛禽
acclaim [ə'kleim] n.喝彩,欢呼v.欢呼,称赞
acclaimed [ə'kleimd] 欢呼
acclamation [,æklə'meiʃən] n.欢呼
acclamatory [ə'klæmətəri] adj.欢呼的,喝彩的
acclimate [ə'klaimit] vt.使适应新环境,使服水土vi.服水土,适应
acclimation [,æklai'meiʃən] n.服水土,顺应,适应环境
acclimatization [ə,klaiməti'zeiʃn] n.环境适应性
acclimatize [ə'klaimətaiz] vt.使适应(或习惯)新环境(或气候等),使服
acclivity [ə'kliviti] n.向上的陡坡
accolade [,ækə'leid] n.赞美,骑士爵位的授予,连谱号
accommodate [ə'kɔmədeit] vt.供应,供给,使适应,调节,和解,向...
accommodating [ə'kɔmədeitiŋ] adj.乐于助人的
accommodation [ə,kɔmə'deiʃn] n.住处,膳宿,(车,船,飞机等的)预定铺位,(眼睛等的)适应性调节,(社会集团间的)迁就融合
accommodator [ə'kɔmədeitə] n.调解人
accompaniment [ə'kʌmpənimənt] n.陪伴物,伴奏
accompanist [ə'kʌmpənist] n.伴奏者
accompany [ə'kʌmpəni] vt.陪伴,伴奏
accomplice [ə'kɔmplis] n.同谋者,帮凶
accomplish [ə'kɔmpliʃ] vt.完成,达到,实现
accomplished [ə'kɔmpliʃt] adj.完成的,熟练的,多才多艺的
accomplishment [ə'kɔmpliʃmənt] n.成就,完成,技艺
accord [ə'kɔ:d] n.一致,符合,调和,协定vt.一致,给与v
accordance [ə'kɔ:dəns] n.一致,和谐
accordant [ə'kɔ:dənt] adj.一致的
according [ə'kɔ:diŋ] adv.依照
accordingly [ə'kɔ:diŋli] adv.因此,从而
accordion [ə'kɔ:diən] n.手风琴adj.可折叠的
accost [ə'kɔ:st] vt.对...说话,搭话
accouchement [ə'ku:ʃmɑ:ŋ] n.<法>分娩,生产
accoucheur [,æku:'ʃə:] n.<法>男助产士,产科男医师
account [ə'kaunt] n.计算,帐目,说明,估计,理由vi.说明,
accountability [ə,kauntə'biliti] n.有责任,有义务,可说明性
accountable [ə'kauntəbl] adj.应负责的,有责任的,可解释的
accountancy [ə'kauntənsi] n.会计师之职,会计学
accountant [ə'kauntənt] n.会计(员),会计师
accountee [会]会计情报利用人(信用证)开证申请人,
accounting [ə'kauntiŋ] n.会计学,清算帐目
accouter [ə'ku:tə] vt.供以服装,供以军用品,装备
accouterment [ə'ku:təmənts] n.穿着,配备,饰物
accoutre [ə'ku:tə] vt.供以服装,供以军用品,装备
accoutrement [ə'ku:təmənt] n.(=accouterment)穿着,配备
accoutrements [ə'ku:trimənts] n.（军服，武器之外的）装备，配备（
accredit [ə'kredit] vt.信任,授权,归于
accreditation [ə,kredi'teiʃən] n.委派,信赖,鉴定合格
accrete [æ'kri:t] vi.共生,合生,附着vt.使依附,使连接ad
accretion [æ'kri:ʃən] n.自然的增加，增加物
accrual [ə'kru:əl] n.获利,利息,自然增长
accrue [ə'kru:] vi.自然增加,产生
acculturate [ə'kʌltʃəreit] vi.适应文化vt.使适应文化
acculturation [ə,kʌltʃə'reiʃən] n.文化传入,文化适应
accumulate [ə'kju:mjuleit] v.积聚,堆积
accumulation [ə,kju:mju'leiʃən] n.积聚,堆积物
accumulative [ə'kju:mjulətiv] adj.积聚的,累积的
accumulator [ə'kju:mjuleitə] n.<英>蓄电池,积聚者
accuracy ['ækjurəsi] n.精确性,正确度
accurate ['ækjurit] adj.正确的,精确的
accurately ['ækjuritli] adv.正确地,精确地
accursed [ə'kə:sid] adj.被咒的,可憎的
accusal [ə'kju:zəl] n.(=accusation)谴责,控告,罪名
accusation [,ækju'zeiʃən] n.谴责,[律]指控
accusative [ə'kju:zətiv] adj.&n.宾格(的),宾语(的)
accusatory [ə'kju:zətəri] adj.非难的,控诉的,指责的
accuse [ə'kju:z] vt.控告,谴责,非难
accuse...of 为…指责某人，控告某人
accused [ə'kju:zd] n.被告
accuser [ə'kju:zə] n.原告
accusingly [ə'kju:ziŋli] adv.责难地
accustom [ə'kʌstəm] vt.使习惯于
accustomed [ə'kʌstəmd] adj.通常的,习惯的,按照风俗习惯的
ace [eis] n.(纸牌或骰子)幺点,王牌飞行员(击落敌机五架以上者)adj.一流的abbr.[军]AlliedCommandEurope,欧洲盟军司令部
acedia [ə'si:diə] n.懒惰,绝望
acentric [ei'sentrik] adj.无中心的,离心的
acephalous [ə'sefələs] adj.无头的,群龙无首的
acequia [ə'seikjə] n.(美国西南部的)灌溉水渠
acerate ['æsəreit] adj.[生物]一端尖的,针状的
acerb [ə'sə:b] adj.酸涩的,尖锐的,刻薄的
acerbate ['æsəbeit] vt.使发怒,使烦恼adj.恼怒的
acerbic [ə'sə:bik] adj.酸的,尖刻的
acerbity [ə'sə:biti] n.涩,酸,刻薄
acervate [ə'sə:veit] adj.[植]成堆生长的,簇生的
acet 乙川,乙酰
acetal ['æsitæl] n.[化]乙缩醛,乙缩醛二乙醇
acetaldehyde [,æsi'tældəhaid] n.[化]乙醛,醋醛
acetamide n.[化]乙酰胺
acetanilide [,æsi'tænilaid] n.退热冰
acetate ['æsitit] n.[化]醋酸盐,醋酸纤维素及其制成的产品
acetic [ə'si:tik] adj.[化]醋的,乙酸的
acetification [ə,setifi'keiʃən] n.使变成醋,醋化
acetifier [ə'seti,faiə] [化]醋化器
acetify [ə'setifai] v.[化](使)醋化,(使)变酸
acetone ['æsitəun] n.[化]丙酮
acetophenetidin n.[化]乙酰氧乙苯胺
acetose ['æsitəus] adj.酸的,醋一样酸的
acetous ['æsitəs] adj.产生醋酸的,酸的,有酸味的
acetyl n.[化]乙酰基,醋酸基
acetylate [ə'set,leit] v.[化]加乙酰基于
acetylcholine [,æsitil'kɔli:n] n.[化]乙酰胆碱
acetylene [ə'setili:n] n.[化]乙炔,电石气
acetylic [,æsi'tilik] adj.乙酰基群的
ache [eik] n.疼痛vi.觉得疼痛,渴望
achene [ə'ki:n] n.[植]瘦果
achievable [ə'tʃi:vəbəl] adj.做得成的,可完成的,可有成就的
achieve [ə'tʃi:v] vt.完成,达到
achievement [ə'tʃi:vmənt] n.成就,功绩
aching ['eikiŋ] adj.痛的,疼痛的,心痛的
achlamydeous [,æklə'midiəs] adj.[植]无花被的
achlorhydria [,eiklɔ:'haidriə] n.[医]胃酸缺乏
achondrite [ei'kɔndrait] n.不含球粒陨石
achondroplasia [ei,kɔndrə'pleiʒə] n.软骨发育不全
achromat n.(=achromate)色盲患者
achromatic [,ækrəu'mætik] adj.消色差的,非彩色的
achromatin [ə'krəumətin] n.(细胞核内的)非染色质
achromatism [ə'krəumətizəm] n.无色,消色差性
achromatopsia n.色盲
achromatous [ei'krəumətəs] adj.无色的,淡色的
achy [eiki] adj.疼痛的
acicula [ə'sikjulə] n.[生物]针,刺
acid ['æsid] n.[化]酸,<俚>迷幻药adj.酸的,讽刺的,刻薄的
acidic [ə'sidik] adj.酸的,酸性的
acidification [ə,sidifi'keiʃən] n.使发酸,酸化,成酸性
acidifier [ə'sidifaiə] n.成酸剂
acidify [ə'sidifai] vt.使酸化,使成酸vi.变酸
acidimeter [,æsi'dimitə] n.酸比重计
acidity [ə'siditi] n.酸度,酸性,[医]酸过多,胃酸过多
acidophile ['æsidəufil] n.[医]嗜酸细胞,嗜酸细菌
acidophilic [,æsidəu'filik] adj.嗜酸的
acidosis [,æsi'dəusis] n.酸液过多症,酸毒症
acidulate [ə'sidjuleit] vt.使酸化,使尖刻
acidulous [ə'sidjuləs] adj.多少带酸味的,不悦的
acinar adj.[解]腺泡的
acknowledge [ək'nɔlidʒ] vt.承认,答谢,报偿
