abate v.减轻，减退；废除
ken n.认识范围的，知识范围;(盗贼、乞丐等的)窝
kernel n.核，仁；核心；中心
kerosene n.煤油
kettle n.水壶
kin n.家族，门第;亲属关系a.有亲属关系的
kindergarten n.幼儿园
kinesiatrics n.运动疗法
kinetics n.动力学
kit n.用具包(袋)；工具箱
knight n.骑士，武士；爵士
knit v.编织；结合(折骨等);使紧密结合
knitwear n.针织品
knob n.门把，拉手；球形突出物;疖，瘤
knot n.结；节疤；难题；海里v.打结
knuckle n.指(关)节；(猪等动物的)膝关节
label n.标签，签条；标记，符号；称号，绰号v.用签标明
labium n.唇
lace n.花边；带子，鞋带v.系带，扎带
lacerate v.撕碎，割碎；伤害(感情)
lachrymal a.泪的n.(p1.)泪腺
lactate v.分泌乳汁；喂奶
lactose n.乳糖
lad n.男孩，少年，青年男子,小伙子；家伙，伙伴
laden a.装满了的；充满了的;负了重担的；苦恼的
lag v.／n.落后；滞后
lamb n.羔羊，小羊；羔羊肉
lame a.跛；瘸的v.使跛，跛行
lament n.／v.悲痛；哀悼n.挽歌；悼词
lancet n.刺血针；柳叶刀
landscape n.界标；里程碑
landscape n.风景，景色
lane n.小路，小巷；行车道
languish v.变得衰弱无力；失去活力
lantern n.灯，灯笼
lap n.(跑道的)一圈；(衣服的)下摆；(人坐着时)腰以下及大腿的前部
laporotomy n.剖腹术
lapse n.失检；小错；跌落，下降；失检，偏离；流逝，间隔v.失检，背离；终止；失效
lard n.猪油v.涂油于；润色(文章)
larva n.幼虫(昆虫)，蚴(蠕虫)
laryngology n.喉科学
larynx n.喉
lash n.鞭打；严厉的批评;眼睫毛
lassitude n.疲乏；无精打采
latency n.潜伏；潜伏期；隐伏
lateral a.(外)侧的；旁边的
launch v.发射；使(船)下水；开展；发起；开办n.发射；(船)下水
lavatory n.盥洗室；厕所
lavish a.过分大方的；浪费的；慷慨的；过分丰富的；大量的
laxative n.轻泻药a.轻泻的
layer n.层
layman n.俗人;门外汉，外行
layout n.布局;陈设；安排；设计
leaflet n.小叶；传单
league n.同盟，联盟v.结盟
leak n.漏洞v.渗漏，泄漏
leakage n.漏，泄漏；泄漏物；漏出量
lean v.倾斜；屈身；倚，靠；依赖a.瘦的；无脂肪的
leap n.跳跃；飞跃v.跳，跃，跃过
lease n.租约；租赁期限；租赁权
leather n.皮革；皮革制品v.用皮革包
legal a.合法的；正当的；法律的n.法定权利
legible a.易读的；字迹清楚的
legislation n.立法；法规；立法机构审议事项
legitimate a.合法的；正当的；合理的
v.使合法；证明…有理 
lemen n.柠檬
leprosy n.麻风(病)
lesion n.损害，损伤
lest conj.唯恐，以免，免得
lethal a.致死的，致命的
leukemia n.白血病
leukocyte n.白细胞
leukocytosis n.白细胞增多
liability n.责任,义务;倾向;(复数)债务
liable a.有…倾向的，易于…;对…有义务的
liar n.说谎的人
liberate v.解放；释放
liberation n.解放；释放
liberty n.自由
librarian n.图书馆员
library n.图书馆；藏书
license n.执照，许可证v.准许;许可证给…
lick n.／v.舔
lid n.盖；眼睑
lift n.电梯，升降机v.提起;举起；(云雾)消散
ligament n.韧带
lime n.石灰v.用石灰处理
linear a.线的；直线的；长度的；线性的；长条形的
linen n.亚麻布；亚麻布制品a.用亚麻纺成的
linger v.逗留，徘徊；拖延
lining n.衬里;衬料
link n.环；链；链环v.连结,联系
lipase n.脂(肪)酶
lipid n.脂
lipoid n.a.类脂(的)；脂质(的)
liquor n.液；汁；液剂；酒v.把…浸于水中
literal a.文字上的;字面的；确确实实的
literary a.文学的；精通文学的；从事写作的
literature n.文学;文学作品；文献
lithiasis n.结石病
litter n.四下乱丢的东西;废物,废纸;轿;担架;一胎生下的小动物v.乱丢;产仔
lizard n.蜥蜴
loaf n.一条面包，一只面包
lobby n.前厅；议会走廊；议会休息厅v.对议员进行疏通活动
lobe n.叶
lobule n.小叶
locomotive n.机车；火车头a.运动的；机动的
locust n.蝗虫
lodge v.住宿,投宿n.门房，传达室
lodging n.寄宿；住所
lofty a.高耸的；崇高的
longevity n.长寿；资历
loop n.环，圈
loose a.松的；宽大的；松散的v.释放；松开
loosen v.解开；松开
lord n.主人；长官；君主;贵族;(L-)上帝；基督
lorry n.运货汽车，卡车
lotion n.洗液；洗剂
lotus n.莲，荷
loudspeaker n.扬声器,喇叭
lounge n.休息室;起居事;闲荡v.闲荡
louse n.虱
loyal a.忠诚的；忠贞的
loyalty n.忠诚，忠心
lubricate v.使润滑；加润滑油
lucid a.神志清醒的；清楚的;易懂的
lueky a.梅毒的；传染病的
lull v.使安静，哄(小孩)睡觉；变平静n.间歇，暂停
lumbar a.腰的
lumber n.木材，木料v.以破旧东西堆满；伐木；笨重移动
lumen n.腔
luminous a.发光的，发亮的；光明的；明白易懂的；有启发的
lunar a.月亮的；似月的
luncheon n.午餐；午餐会
lung n.肺
lusty a.强壮的；精力充沛的;强烈的
luxury n.奢侈；奢侈品a.奢华的
lymph n.淋巴；淋巴液
lymphocyte n.淋巴细胞
lyse v.溶解，溶化
lysis n.溶解；消散；(疾病)渐退
macroscopical a.宏观的；肉眼可见的
macula n.(尤指皮肤上的)斑点
macular a.斑(点)的
magic n.魔术;戏法a.魔术的；有魔力的
magnesium n.镁
magnet n.磁铁;磁体；有吸引力的人(物)
magnetic a.磁性的；有吸引力的
magnificent a.壮丽的；宏伟的；豪华的
magnifier n.放大镜；放大器
magnify v.放大；扩大
magnitude n.大小；数量；重要性；巨大
maid n.侍女；女仆；少女；处女
maiden n.处女；少女；未婚女子
maintenance n.维持；保养
majestic a.雄伟的，壮丽的；庄严的；威严的；崇高的
majesty n.威严，尊严；(M-)陛下
majority n.多数，过半数
malaise n.不适，欠安
malaria n.疟疾
malformation n.畸形，变形
malfunction n.故障；功能碍障
malicious a.恶意的；蓄意的
malignant a.恶性的；有害的
malnutrition n.营养不良
mammal n.哺乳动物
managerial a.经理的；管理人的；管理上的，经营上的
mandatory a.强制的；委托的
maneuver n.手法，操作法
manifest v.表明；证明；显示a.明白的；明显的
manipulate v.操作；处理；使用；操纵
manometer n.压力计；血压计
mansion n.大厦，大楼
manual a.手的；用手的；手工做的；体力的n.手册，指南
manuscript n.手稿；原稿；打字稿
marble n.大理石
march v.／n.前进；进行；行军
margin n.页边空白；边缘；余地；幅度v.加边于
marine a.海的；海生的；航海的
marrow n.骨髓；精华；活力
marsh n.沼泽地
marshal n.元帅
martyr n.烈士；(因疾病等)长期受痛苦的人
marvel n.惊奇；奇观;奇迹v.惊奇;惊异
marvelous a.惊人的；奇迹般的;了不起的
Marxism n.马克思主义
Marxist n.马克思主义者
masculine a.男性的；男子气概的n.阳性；阳性词
mask n.面具;口罩v.遮盖;戴面具
mass n.团，块，堆；众多，大量v.集聚n.(或M-)弥撒n.(p1.)群众，民众
massage n.按摩，推拿v.按摩，推拿
massive a.粗大的，大而重的；大规模的，巨大的
masterpiece n.杰作；名著
mastery n.控制；统治;优势;优胜;掌握，精通
mat n.席子；垫子;地席;v.铺上垫子
maternal a.母亲的；母系的
maternity n.母性；产科医院；怀孕
matron n.护士长；女总管；总干事
maturate v.成熟；化脓
mature a.成熟的；周到的v.成熟,成长
maxim n.格言，箴言
maximal a.最大的，最高的；最带总括性的
maximize v.把…增加到最大限度；充分重视；作尽量广义的解释
maximum n.最大量；最高点；顶点；极限a.最大的，最高的
115 
maze n.迷惑；混乱v.使迷惑;使困惑
meadow n.草地；牧草地
measles n.麻疹
mechanism n.机制,机理;机械装置;手法；途径
meddle v.干涉，干预
median a.中央的，当中的n.中部;中线；中值
medicare n.医疗照顾方案／项目
medication n.药疗法，药物处理；药物;药剂
medicinal a.药的；药用的；治疗的
medico-athletics n.医疗体育
medico-legal a.法医学的
meditate v.沉思，冥思；反省；考虑;策划
Mediterranean n.／a.地中海(的)
medium a.中等的，适中的n.中间,适中；媒介；媒介物；传导体
medulla n.髓(质)
melanin n.黑(色)素
melody n.旋律，曲调；歌曲
melon n.瓜；甜瓜
membrane n.膜
memorable a.值得纪念的；难忘的
memorandum n.备忘录
memorize v.记住；熟记；记录；存储
menace v.／n.威胁；恐吓
mend v.修补，修理，缝补；改正;改进n.修补；好转
meningitis n.脑(脊)膜炎
menstrual a.月经的；每月一次的
mental a.思想的，精神的；智力的,脑力的
merchandise n.商品；货物v.经商；推销
merchant n.商人；零售商
mercury n.汞，水银
mercy n.仁慈；怜悯；宽恕
merge v.使(企业等)合并；使结合；吞没；并吞
merit n.价值；优点；功绩v.值得；应得
merry a.欢乐的，兴高采烈的
mesh n.网眼；网络；网状结构
mess n.混乱，混杂；脏乱v.弄糟；弄乱；妨碍
metabolism n.(新陈)代谢
metallic a.金属的；金属制的；含金属的；产金属的；像金属的
metastasis n.转移；转移灶；转移瘤
meteorology n.气象学
methodology n.方法论；(某一学科)一套方法
meticulous a.过细的，细致的
metropolitan a.大城市的，大都会的；宗主国的n.大城市人；大都市派头的人
microbe n.微生物；细菌
microbiology n.微生物学
microfilm n.缩微胶卷；缩微照片v.用缩微法拍摄
microorganism n.微生物
midst n.中部，中间
migrate v.迁移；移居
mild a.温暖的，暖和的；温和的；温柔的；(烟、酒)味淡的
military a.军队的；军事的；军用的
mill n.磨坊；磨粉机；制造厂，工厂v.碾磨
millionaire n.百万富翁
mimic a.模仿的；摹拟的
mince v.切碎；绞碎n.肉馅
mingle v.混合，相混合
miniature n.小画像；小型物
minibus n.小型公共汽车
minister n.部长；大臣；牧师v.伺候，照顾(to)
ministry n.部
minor a.较小的；较少的；较次要的
n.兼修学科v.兼修(in) 
minority n.少数；少数派；少数民族
mint n.薄荷
minus a.减去的；负的prep.减(去)n.减号，负号；负数，负量
minute a.微细的，微小的；详细的；精密的
miracle n.奇迹；令人惊奇的人(或事)
misbirth n.堕胎；流产
miscarriage n.失败；误投；小产；流产;堕胎
miserable a.悲惨的；痛苦的
misery n.痛苦；悲惨；不幸
mismatch v.／n.配错；配合不当
missile n.导弹；发射物
mission n.使节；代表团；使命,任务；v.派遣
mist n.薄雾，霭v.下薄雾；模糊
mitigate v.缓和；镇静；安慰
mitral a.僧帽形的；二尖瓣的
moan n.呻吟声；悲叹声v.呻吟,悲叹
mobile a.运动的；活动的；易变的；流动的，机动的；活动装置的n.运动物体
mobilize v.动员；活动
mock v.嘲弄，嘲笑a.假的,虚幻的
moderate a.中等的,适度的;温和的;稳健的n.温和主义者v.变(使)和缓
modest a.端庄的,朴素的；谦虚的,羞怯的
modesty n.谦逊，虚心；端庄，稳重;羞怯;朴素
modification n.缓和;减轻;更改，修改
modify v.改变,改变;修饰；减轻；缓和
modulate v.调整；调节
moist a.湿润的，潮湿的
moisture n.潮湿；湿气；湿度
molar n.磨牙，臼齿a.克分子的
mold 同mould
mole n.胎块；痣；克分子
molecular a.分子的；克分子的
molecule n.分子；克分子；微小颗粒
molten a.熔化的；熔融的
moment n.片刻，瞬间，时刻；重大，重要
monetary a.钱的；货币的；金融的
monitor n.班长；监听员；监听器;监视器；(病人)监护仪v.监视，监听；监护
monocyte n.单核细胞
monotonous a.单调的；一成不变的
monster n.怪物;妖怪a.异乎寻常地大的(只作定语)
mood n.心境；情绪；语气
moral a.道德的；道义的；有道德的
n.寓意；道德上的教训 
morality n.道德，美德；教训，寓意
morbid a.病的；致病的；病态的；可怕的
morbidity n.发病率
morphine n.吗啡
morphology n.形态学；结构；词法
mortal a.致命的；终有一死的；人世间的，凡人的n.凡人
moaquito n.蚊子
moss n.苔藓，地衣v.长苔藓
motel n.汽车旅客旅馆
moth n.蛾；蛀虫
mothball n.卫生球；樟脑球
motto n.箴言；格言；警句
mould n.模子，模型，铸模；霉；霉菌v.造型，浇铸；发霉
mount v.登上，爬上，骑上；增长；固定；镶嵌n.登上，骑马，支架；底座，底板
mourn v.哀悼，悲悼
mouse n.鼠；耗子v.捕鼠
mucosa n.粘膜
mucus n.粘液
multiple a.复合的；多样的；多重的；多倍的；复杂的；并联的n.
multiplication n.增加，增多，倍增；增殖，繁殖；乘法
multiply v.乘；增加；繁殖
multitude n.大批；大群；大量
mumps n.流行性腮腺炎
municipal a.市的；市政的；市立的
murmur n.咕哝；(心脏)杂音
mushroom n.蘑菇
musk n.麝香
mustard n.芥末
mutate 变异；突变
mutter v.／n.轻声低语；咕哝：抱怨
mutton n.羊肉
mutual a.相互的;共同的
mycology n.真菌学
myopia n.近视
mysterious a.神秘的；可疑的；难理解的
mystery n.神秘；神秘之事；神秘小说；侦探小说
nail n.钉；指甲；爪v.钉,钉住
naive a.天真的；朴素的
naked a.裸体的；毫无遮掩的
napkin n.餐巾(纸)
naprapathy n.推拿疗法；矫正疗法
narcotherapy n.麻醉疗法；睡眠疗法
narcotic a.麻醉的
narrate v.讲(故事)；叙述
narration n.讲述；故事；记叙体
narrative a.叙述的n.记事；叙述;记叙文
narrow a.狭的，狭窄的；狭隘的v.弄窄
nasal a.鼻的；鼻音的
nasty a.龌龊的；极脏的；令人作呕的
naught n.零；无
naughty a.顽皮的；淘气的
nausea n.恶心；晕船
naval a.海军的；军舰的
navigation n.航行；航海；航海术;导航；领航；海上交通
navy n.海军
necessitate v.使成为必需；迫使(常用被动语态)
necessity n.必要性；必然性；必需品
necropsy n.尸体剖解；验尸
necrosis n.坏死
negligence n.疏忽；玩忽；粗心大意
negligent a.疏忽的；玩忽的；粗心大意的
negligible a.可以忽略的；微不足道的
negotiate v.谈判；协商
negotiation n.谈判；协商
neonate n.不满一个月的婴儿
neoplastic a.新生物的；赘生的;(肿)瘤的
nephew n.侄子；外甥
nephritis n.肾炎
neural a.神经的
neuralgia n.神经痛
neurology n.神经病学
neuron n.神经元，神经细胞
nib n.钢笔尖；尖头
nickle n.镍；五分镍币v.镀镍
nicotine n.尼古丁
niece n.侄女；外甥女
niggard a.／n.小气的(人);吝啬的(人)
nightwalker n.梦游病患者
nil n.无，零
nip v.夹,钳,咬;剪断,夹断
nipper n.钳子；镊子；螯
nipple n.乳头；乳头状隆起
nitrogen n.氮
noble a.高尚的；贵族的n.贵族
nocturia n.夜尿
nocturnal a.夜间的；夜发的
node n.节；结；瘤；中心点
nodule n.小结节，小瘤
nomenclature n.名称；术语；命名(法),术语集
nominate v.提名；指定；任命
nomination n.提名；任命
nonreversible a.不可逆的
nonsense n.胡说；废话
nonsignificant a.无足轻重的,无意义的
nonspecific a.非特异性的
nostril n.鼻孔
notable a.值得注意的;著名的;显著的n.名人
notary n.公证人，公证员
noticeable a.显而易见的；值得注意的;重要的
notion n.概念；想法；打算，意图
notorious a.臭名昭著的；声名狼藉的
notwithstanding prep.尽管ad.尽管，还是
conj.虽然；尽管 
nought n.／a.无，零
nourish v.施肥于；提供养分；养育
nourishment n.食物，滋养品
novel a.新颖的；新奇的n.长篇小说
novelty n.新奇;新颖
noxious a.有害的；不卫生的；有毒的
nuclear a.核的；核心的；原子核的
nucleus n.核；核心；原子核；细胞核
nude n.裸体的；光秃的；肉色的
nuisance n.麻烦事；讨厌的人(或事)
numb a.麻木的；失去感觉的
numberical a.数字的，用数字表示的，数值的
numerous a.众多的，大批的，无数的
nursery n.托儿所，保育室;苗圃;繁殖场
nurture n.营养物，食物；培育;养育；教养
nutrient n.营养品a.营养的；滋养的
nutriology n.营养学
nyctalopia n.夜盲症
nylon n.尼龙
oaf n.畸形儿；痴儿；笨汉
oak n.橡树，橡木a.橡木制的
oar n.桨，橹v.划船，划行
oat n.燕麦
oath n.誓约；誓言
oatmeal n.燕麦片；燕麦粥
obesity n.肥胖症
obligation n.义务,责任
oblige v.迫使;责成;使感激，施恩
obliterate v.擦去；涂抹；去掉…痕迹；消失；除去
oblivious a.忘却的；健忘的
obscure a.暗的；朦胧的；模糊的;不清楚的；偏僻的v.使暗,使黑暗；遮掩；使失色
observation n.观察；监视；言论，意见
observe v.遵守；奉行；观察，注意到；看到；说，评述
observer n.遵守者；观察员，观察家；评述者
obsess v.使着迷；迷(缠)着;使烦扰
obstacle n.障碍；妨碍
obstetrics n.产科学；助产术
obstinate a.固执的；顽强的
obstruct v.阻塞，堵塞；阻挡，,阻止;设置障碍
obstruction n.阻塞，堵塞；障碍物
occasion n.场合，时节；时刻v.引起
occasional a.偶然的；不时的
v. 闭塞的；堵塞；(牙齿)咬合
occult a.隐(伏)的；潜隐性的；秘密的
ocular a.眼的；视觉的;目击的
odds n.不平等；差异;差距;可能性
odo(u)r n.气味；香气；臭气
offence(-se) n.犯法；犯规，过错；冒犯;触怒；进攻
offend v.冒犯；触犯；得罪;使不快；使恼火
offensive a.冒犯的，攻击的n.攻势;进攻
officinal a.药房现成有售的；依据药典配制的；药用的n.成药；药用植物
officious a.过分殷勤的；好管闲事的；非官方(正式)的
offset n.／v.分支；抵消；补偿
omen n.预兆，兆头
ominous a.不祥的，不吉的；预兆的，预示的
oncology n.肿瘤学
onion n.洋葱
opaque a.不透光的；不反光的,不传导的；晦涩的
opera n.歌剧
ophthalmology n.眼科学
opiate n.鸦片制剂
opium n.鸦片；麻醉剂
opponent n.对手；敌手a.对立的;反对的
opportunity n.机会
oppress v.压迫；压制；压抑
oppression n.压迫，压制；压制物;沉闷；压抑
opt v.抉择，选择
optical a.眼的，视力的;视觉的;光学的
optics n.(用作单或复)光学
optimal a.最适宜的；最理想的;最令人满意的
optimism n.乐观；乐观主义
optimistic a.乐观的；乐观主义的
optimize v.使尽可能完善；(表示)乐
optimize v.使尽可能完善；(表示)乐观
optimum n.最佳；最适条件；最适当的食物量
option n.选择；选择权；选择自由
optional a.可任意选择的；非强制的
optometrist n.配镜师
orbit n.眼眶，眼窝；轨道v.作轨道运行
orchard n.果园
orchestra n.管弦乐队
ordeal n.严峻；考验；折磨
organ n.器官；风琴
organelle n.细胞器；小器官
organic a.器官的；有机的
organism n.有机体；生物
orient n.东方v.定位
oriental a.东方的n.东方人
orifice n.孔，口
originality n.创造力；独创性；创见，创举
originally ad.最初地；有独创性地
originate v.起源，发生；首创；创始
ornament n.装饰，装饰品v.装饰
ornamental a.装饰的；作装饰用的n.装饰品；观赏植物
orphan n.孤儿a.无父母的；无父(或母)的；孤儿的
orthopedics n.矫形外科学
osmosis n.渗透(作用)
osteoma n.骨瘤
ostrich n.鸵鸟
otitis n.耳炎
otorhinolaryngology(otolaryngology) n.耳鼻喉科学
outpatient n.门诊病人
outrageous a.蛮横的；残暴的；无耻的
outskirts n.郊区
oval a.卵形的；椭圆形的n.卵形物
ovary n.卵巢
oven n.炉，灶；烘箱
overactivity n.活动过度；过度活跃
overall a.全面的；综合的n.工作服；罩衫；(pl.)工作裤
overcast n.阴天a.阴暗的；郁闷的
overflow v.使涨满；溢出；流出；漫出
oversleeve n.袖套
overt a.公开的；明显的
overthrow v.／n.推翻；颠覆
overwhelm v.压倒；制服
ovum n.卵细胞
oxide n.氧化物
oyster n.牡蛎
ozone n.臭氧
pad n.垫，衬垫；便笺本v.填塞
paddle n.桨v.用桨划
pagoda n.塔
pail n.提桶
painstaking a.苦干的；艰苦的,费力的;刻苦的
pal n.好朋友，伙伴v.成伙伴
palate n.腭
palliate v.减轻；缓和
palliative a.姑息的；治标的
pallor a.苍白；灰白
palm n.手掌；棕榈
palpation n.触诊
palpitate v.悸动；急速地跳动
palsy n.瘫痪；中风，痉挛
pamphlet n.小册子
pancake n.薄煎饼
pancreas n.胰(腺)
pandemic a.流行的；传染的n.传染病
panel n.专门小组；面；板；控制板，操纵盘
panic n.恐慌;惊慌a.恐慌的;惊慌的
pant n.v.气喘；心跳
pants n.裤子
pap n.软食；半流质食物
papula n.丘疹；小突起
parachute n.降落伞v.用降落伞降落
parade n.游行；检阅v.游行
paradise n.天堂
paragraph n.段落，节；短讯；短评
parallel a.平行的，与…平行的n.平行线，纬线；对比
paralyse v.使麻痹，使瘫痪
paralysis n.麻痹，瘫痪
paralyze v.使麻痹，使瘫痪
paraphrase n.释义；意译v.将…释义(意译)
parasite n.寄生虫；寄生菌；食客
parcel n.小包，包裹；(土地的)一块
parenterally ad.不经肠道
parish n.教区
parliament n.国会；议会
parliamentary a.议会的；国会的
parlo(u)r n.客厅；休息室
paroxysm n.阵发；突发
parrot n.鹦鹉
partial a.部分的，局部的；偏爱的，不公平的
participant n.参加者；参与者a.参与的
participate v.参与；参加；分享；分担
participation n.参与；参加；分享
particle n.粒子；微粒；小品词；虚词
partition n.分开；隔开物；隔开部分
passion n.热情，激情；爱好；激怒；大怒
passionate a.热情的；热烈的；激昂的；易动情的；易怒的；性情暴躁的
passive a.被动的；消极的
paste n.浆糊,糊状物v.粘,贴
patch n.小片；小块；补钉;膏药;斑v.补，修补
patent a.专利的；特许的n.专利；专利权v.给予…专利权；获得…专利权
pathogen n.病原体
pathology n.病理学
pathophsiology n.病理生理学
patience n.耐心；忍耐
patient a.有耐心的；能忍耐的n.病人，患者
patriot n.爱国者
patriotic a.爱国的
patrol n.巡逻；巡逻队v.巡逻
pattern n.模式；式样；图案；花样
v.仿制；模仿 
pave v.铺砌；铺路
pavement n.人行道
pavilion n.亭子
pearl n.珍珠v.呈珍珠状;用珍珠装饰
peck v.／n.啄
peculiar a.特殊的；独特的；古怪的
peculiarity n.独特性，特色；特殊的东西；怪癖
pedagogy n.教育学；教学法
pedal a.足的；脚踏的n.脚踏v.骑自行车
pedestrian n.行人a.步行的
pediatrics n.儿科学
peel v.削皮，剥皮n.果皮
peep v.／n.偷看；窥看
peer v.盯，窥，凝视n.同事;前辈
peg n.木(或金属)钉；衣夹v.钉木钉
pelvis n.骨盆
penalty n.罚；惩罚
pendulum n.摆；钟摆
penetrate v.穿透；渗入；看穿
penetration n.穿透；穿人；渗透
peninsula n.半岛
peninsular a.半岛的；半岛状的
penny n.便士；一分
pension n.抚恤金；养老金；年金v.给予…养老金(抚恤金等)
pepper n.胡椒粉；胡椒；辛辣(或富于刺激性)的事物v.撒胡椒粉于
pepsin n.胃蛋白酶
peptic a.消化性的；助消化的；消化液的
perceive v.察觉，发觉；理解；领悟
perceptible a.感觉得到的；看得出的；可理解的
perception n.感觉；概念；理解力
perceptive a.知觉的；感觉灵敏的;有察觉力的；有理解力的
percuss v.叩诊；震动；敲打
percutaneous a.经皮的
perforate v.穿孔；贯穿
perform v.做，施行；完成；表演；演出
performance n.表演；演出；执行；完成
performer n.表演者；执行者
perfume n.香水；香料v.撒香水
perfuse v.洒；灌注；使充满
peril n.严重危险v.置…于危险中
periodic n.期间；周期；时期；时代；句号(pl.)月经期
periodic a.周期的；定期的；间歇的；循环的
periodical a.定期的；周期的；期刊的
n. 期刊，杂志
peripheral a.末梢的；周围的
permanence n.永久(性)；持久(性)
permanent a.永久的；持久的
permeable a.可渗透的；具渗透性的
permeate v.渗入；透过；弥漫；充满
pernicious a.有害的，有毒的；恶性的;致命的
perpetual a.永久的；永恒的
perplex v.困惑；难住；使复杂化
persecute v.迫害
persecution n.迫害
persevere v.坚持；不屈不挠
personify v.拟(某物)为人;使人格化；表现；体现
personnel n.全体人员；全体职员；人事部门
perspective n.前景；前途；观点；看法a.透视的
perspire v.排汗
pertain v.(to)附属，从属；关于；有关；适合，相称
pertinent a.恰当的；贴切的；中肯的；有关的；相干的
perturb v.使不安;烦扰;扰乱;使紊乱
perturbation n.不安,烦扰;扰乱;紊乱
pertussis n.百日咳
pervade v.弥漫,渗透;充满,遍及
pessimism n.悲观；悲观主义；厌世
pessimist n.悲观者；悲观主义者；厌世
pessimistic a.悲观的;悲观主义的
pesticide n.杀虫剂；农药
petition n.／v.请愿，申请，祈求
petrol n.汽油
petroleum n.石油
petty a.细小的,次要的;渺小的
pharmaceutical a.药学的;药物的；药用的;药剂师的
pharmacology n.药理学；药物学
pharmacy n.药学；制药；药店,药房
pharyngitis n.咽炎
pharyngoscope n.咽镜
pharynx n.咽
philosopher n.哲学家;哲人
philosophical a.哲学家的;哲学上的;达观的
philosophy n.哲学,哲学体系
phonetic a.语音(学)的
phosphate n.磷酸盐
phosphorus n.磷
photography n.摄影术
physiological a.生理学的；生理的
physiology n.生理学
pick v.挖；拾，采,摘;挑选n.镐
picket n.桩，尖桩v.派去放哨;用栅子围上
pickle n.腌制品；泡菜
pictorial a.绘画的；图片的n.画报
picturesque a.景色似画的；别致的
pierce v.穿透
pigeon n.鸽子
pigsty n.猪圈
pillar n.柱，支柱；柱形物
pilot n.驾驶员，飞行员；领港员；引水员v.领港；驾驶(飞机等)
pin n.大头针;别针;徽章;销,栓v.钉住,别住
pinch v.／n.拧，捏,夹(痛);挤压
pine n.松树v.憔悴;消瘦;渴望
pink n.桃红色;粉红色a.粉红色的
pinkeye n.火眼
pistol n.手枪
piston n.活塞
pit n.坑；窖；小凹陷
pitch n.沥青
pitiable a.引人怜悯的；可怜的
pitiful a.令人怜悯的；可怜的
pituitary a.垂体的；粘液的n.垂体,垂体前后叶制剂
pity n.怜悯；惋惜；可惜的事,憾事
placebo n.安慰剂；宽慰话
placenta n.胎盘
plague n.瘟疫;鼠疫;灾祸;天灾
v. 染瘟疫
planetary a.行星的,有轨道的
plantation n.种植园;栽植
plaque n.班,血小板;噬菌区
plasma n.血浆
plaster n.灰泥;膏药v.涂灰泥;敷贴膏药;减轻
plateau n.高原;平稳时期;停滞时期
platelet n.血小板
plea n.抗辩；诉讼；托词；请愿；请求
plead v.恳求；为…辩护，辩解
pledge n.誓约；保证v.发誓；保证
plenary a.完全的；绝对的；全体出席的
pleura n.胸膜
plexus n.(血管，淋巴管，神经等的)丛
plight n.境况；困境，苦境v.保证
plot n.一块地；计划，阴谋,情节
v. 策划
plumber n.管子工；铅管工
plump a.丰满的；饱满的
plunder v.／n.掠夺；抢劫
plunge v.跳入;(使)投入;(使)入;猛冲
plural n./a.复数(的)
plus prep.加n.加号;正号a.正的
pneumonia n.肺炎
poke v.戳，刺，捅，插；触碰；伸(头)
polar a.地极的；南极的；北极的
polarization n.(电)极化；极化强度；偏振；两极分化
polarize v.极化；偏振；使两极分化
pole n.柱，杆；地极；磁极v.用杆撑
policy n.政策,方针
polish v.擦亮,抛光n.擦亮剂
poll n.投票;投票数;民意测验v.投票;对…进行民意测验
polymer n.聚合物；聚合体
polyp n.息肉
polytechnic a.多种工艺的；多种科技的
pond n.池塘
ponder v.考虑；沉思
porcelain n.瓷；瓷器
porch n.门廊
pore n.毛孔；气孔；细孔v.凝视
pork n.猪肉
porridge n.粥
port n.港口
portable a.轻便的；手提(式)的
portal a.肝门的；门静脉的；
porter n.搬运工人；守门人
portion n.部分；一份
portrait n.肖像，画像
positive a.确定的，肯定的；积极的；正面的；阳性的n.明确；实在；正面
possess v.拥有，占有
possession n.所有物；拥有，占有
possessive a.占有的；所有的n.(the-)所有格
postage n.邮费；邮资
postal a.邮政的，邮局的n.明信片
postdoctoral a.博士后的
poster n.招贴；标语；广告(画)
posterior a.后面的
postmortem a.死后的;验尸的n.尸体解剖；验尸
postscript n.又及；附言；再者
potassium n.钾
potent a.有力的；有效力的；有势力的；烈性的
potential a.潜在的；可能的n.潜力
potentiality n.潜在性；可能性；(pl.)潜力
potentiate v.加强；使更有效力(尤指药物)
pottery n.陶器类；陶器制造(术)
poultry n.家禽
powder n.粉末，药粉
pox n.痘，疹；脓疱
practitioner n.开业者；实践者
131 
precaution n.预防,谨慎;警惕v.预先,警告
precautious a.有防备的；戒备的；警惕的
precede v.在先，在前；优于
precedence n.领先；在前；优先；上座
precedent n.先例，前例a.在前的，优先的
precious a.珍贵的，贵重的
precipitation n.沉淀；加速；促进；降雨量
precise a.精确的，准确的
precision n.精确(性);精密a.精确的，精密的
precursor n.先驱者；前辈；前任；预兆；先兆
predecessor n.前辈；前任者
predispose v.使易感染；预先安排
predisposition n.倾向；素质；易罹病的素质
predominant a.占优势的；主要的；流行的；显著的
preference n.偏爱；喜爱；优先
pregnancy n.怀孕；怀孕期
pregnant a.怀孕的；孕育着的
prejudice n.偏见,成见;侵害,损害,歧视v.使抱偏见,不利于
