activate v.使活动
mission n.使命，天职，代表团，飞行任务
mobility n.流动性
moderate adj.适度中庸的v.减轻，节制
momentous adj.重大的，严重的
monumental adj.巨大的
multifarious adj.各式各样的
munificent adj.慷慨的
mural n.壁画
myriad adj/n.无数，极大数量
mythical adj/adv.神话的，想象的，虚构的
nefarious adj.极坏的，恶毒的
negligence n.疏忽，失职；不修边幅
negligible adj.无足轻重的，微不足道的
negotiator n.磋商者交易者
nemesis n.公正的惩罚，报应
neutrality n.中立，中立地位
notable adj.值得注意的
nourishment n.事物，滋养品
numerous adj.许多的
obliterate v.除去，彻底毁灭或破坏
obscure adj.难懂的；无名的；暗淡的v.使……隐晦/模糊不清，掩盖
onerous adj/adv/n.繁重，艰巨
opponent n.对手，敌手，反对者
oriented adj.导向的，以……为目的的
ornate adj.装饰华丽的
outcast n.弃儿，无亲友的人
overwhelming adj,巨大的，势不可挡的
palliative n.缓解剂，权宜之计
patronage n.支持，资助，恩赐
paradigm n.模范，范例
peak n/v/adj.顶峰，达到最高值
peer n/v/adj.凝视，同等，贵族
penetrate v.穿过，了解，看透，发现，揭示
perceive v.感觉，察觉，理解，意识到
peril n.危险的事，极大的危险
perishability n.易腐烂性，易朽的
persistent adj.执意的
perverse adj.任性的，固执的，错误的
pettiness n.琐碎，小气，鄙视
petulant adj.易怒的，坏脾气的
pliable adj.易弯的，柔韧的，易受影响的，顺从的，能适应的，
portray v.描写，表现
prey v.捕食，折磨，靠欺诈为生n.被捕食的猎物，受害者，受骗者
precursor n.先驱，前身，先兆，初期
predator n.食肉动物；奴役他人者
premature adj.过早的，提前的，未到期的
presumptive adj.假定的
primate n.灵长动物；大主教
pristine adj.原始的；新鲜纯净的；远古的
procrastinate v.拖延，耽搁
profundity n.深奥，深刻，深厚
profuse adj.毫不吝惜的，慷慨的，挥霍的
prolong v.延长，拖延，拉伸
promote v.提拔，筹划创立，推销，促进
prompt adj.立即的，敏捷的，果断的
propensity n.倾向，习性
prophetic adj.预言（性）的，先知的
proponent n.支持者，拥护者
proportion n.大小，面积，容积
prosaic adj/adv.无聊的，平淡的，无灵感的
protagonist n.倡导者，主角
provoncial adj.省的；守旧的，迂腐的，狭隘的
publicity n.众所周知；宣传
purchase v/n.购买；换得；获取；握紧
pursue v.追捕，继续，从事，纠缠
quell v.（用武力）制止、镇压、平息
quench v.熄灭，终止
radiate v/n.发射，射出；显露
radical adj/n.根本的，基本的，彻底的，完全的；激进的；全新的，不同凡响的
rebellion n.背叛，谋反，叛乱，叛逆
reble v.反叛
receptivity n.感受性，接受能力
reciprocal adj.相互的
reconcile v.使和好，使一致，将就，妥协
redeem v.实践；挽回；补偿；解救；赎罪
redolent adj.有强烈气味的；使人联想起或回想起某事物的
redundant adj.多余的
reference n/v.提及，引用，征询，标记
reflect v.反射，转折；反映，表达；考虑；使……受影响，蒙受
regulate v.控制，管理，调整，调节
regressive adj.回归的，后退的
rehearsal n.排练；复述
reinforce v.加固，充实，使更强大
reiterate v/n/adj.重申，重申的
reject v.拒绝，驳回，舍弃，排斥，慢待
relevance n.关联，切题，适宜，中肯
relieve v.减轻
remedy v/n.纠正，改正，改进，补偿
remiss adj/adv/n.玩忽职守，马虎
remote adj.遥远的
repressible adj.可抑制的，可镇压的
resist v.抵挡，反抗，经得住，不屈从
restrain v.抑制，约束，阻止，控制
reticent adj.不轻易暴露思想或情感的；有保留的
retrieve v.寻回，检索，恢复
reversal n.相反
revise adj.修改；复习
rewarding adj.有益的
ridicule v/n.嘲笑，嘲弄，奚落
rigidity n.坚硬，严格，刚正，死板
risque adj.有伤风化的
rivalry n.敌对，竞争，对抗，较量
robust adj.强壮的，坚定的，精力充沛的
salutary adj.有益的，效果好的
sanguine adj.充满希望的，乐观的
scale n.标准，比例
scarce adj.缺乏的，罕见的adv.勉强，刚，几乎不
scoff v/n.嘲笑，嘲弄
scrutinize v.认真检查
seditious adj.煽动性的
sedulous adj.坚持的，勤奋的；小心周到的
self-serving adj.自私自利的
sensible adj.明智的，合理的，切合实际的
sentimental adj.感情用事的，多愁善感的
sermonize v.说教，讲大道理
shrink n.收缩
shroud v.覆盖，遮蔽，隐藏，保密
sinister adj.危险的，凶兆的
slipshod adj.马虎的，随便的，草率的
slope n.斜坡，山坡
smug adj.自满的，沾沾自喜的
smugness n.装模作样，矫矜
sneer v/n.讥笑，冷笑
solicitous adj.关心的，挂念的，热切渴望的
sophistry n.诡辩
spectacular adj.壮观雄伟的，引人入胜的
speculate v.思索，揣测；投机
spontaneity n.自发性，自动
sporadic adj.零星的，偶发性的
spurious adj.谬误的
steadfast adj.坚定的，不变的
stern adj.苛刻的，严格的；严肃的，严厉的
stimulus n.刺激，刺激物
stingy adj.吝啬的
strive v.努力奋斗，力求，力争
stymy v.阻碍
subsequent adj.随后的，后来的，连续的n.后来人，后来事
substance n.物质；主旨；实体；根据；个体；重要性；浓度；坚实，牢固；财力，资产
substantiate v.用事实支持；证明，证实
subtract v.减，扣除
subversive adj/n.颠覆性的，颠覆分子
succulent adj.汁多味美的；水分充足的
supertitious adj.迷信的
suppress v.镇压
surmise v./n.推测，揣测
sustain v.支撑，支持，维持，遭受，证明，证实，认可，准许，承受，鼓励，支援，供养，扮演
suspend v.暂停，延缓，推迟
suspicious adj.猜疑的，可疑的，不信任的
sustain v.维持
swindle v/n.诈骗，骗取钱财
swoon v/n.昏厥，昏倒
sycophant n.马屁精
taciturn adj.沉默寡言的
tactful adj/adv.机智的，圆滑的，得体的
tedious adj.冗长的
temporize v.顺应时事；敷衍，应付；拖延，耽搁；暂时同意
tenacious adj.抓牢的，坚韧的，持久的
tension n.张力
terminate v.结束，终结
testify v.作证，证明，证实
therapeutic adj.治疗的
thermal adj.热的；保暖的
thrive v.兴盛，兴隆（thriving蒸蒸日上）
toady n/v.拍马屁，拍马屁的人
toxic adj.有毒的，因中毒而引起的
transmit v.发射，广播，传播，使通过
transparent adj.透明的，显而易见的
treacly adj.甜蜜的
tribute n.称赞，体现，致敬，悼念
triumph n.胜利
trivial adj.琐碎的，没有价值的
thwart v.阻挠，阻止，使受挫折
turmoil n.混乱，焦虑，骚动
tyrant n.专制统治者，暴君
underscore =underline
unmarred adj.未损伤的
unprecedent(unprecedented) adj.空前的，史无前例的
unsightly adj.难看的
uprising n.起义，暴动
vacuity n.空白，空虚，空间，缺乏，蠢事
vanquish v.战胜，克服
vex v.使烦恼/苦恼/生气；详细讨论，争论；使动荡，使汹涌
vibrate v.振动
vicious adj.邪恶的；残酷的；凶猛、危险的
vindication n.澄清，证实，辩护
vindictive adj.恶意的，怀恨在心的
virtue n.美德，优点，贞洁，功效
viscous adj.黏性的，黏滞的
vociferous adj.吵吵嚷嚷的
wary adj.谨慎的小心的
wayward adj.任性的，刚愎自用的
wicked adj.邪恶的，调皮的，危险的，有害的，强大的
wistful adj/adv/n.惆怅，伤感；渴望
zenith n.顶点，极点
