abase v.降低，羞辱
aquatic a.与水有关系的
aquiline a.弯曲的，钩状的
arable a.可耕种的
arbiter n.仲裁者
arbitrary a.反复无常；残暴；随机的
arbitrator n.仲裁者
arboretum n.植物园
arcade n.拱廊
arcane a.秘密；谜
archaeology n.考古学
archaic a.过时的
archetype n.原形
archipelago n.群岛
archives n.档案；档案馆
ardent a.激烈的；热心肠的；有激情的
arduous a.努力；奋发
aria n.清唱剧
arid a.荒芜的
aristocracy n.贵族
armada n.舰队
aromatic a.芬芳的
arousal n.觉醒；激励
arraign v.传讯；责问
array v.排列；整理
array v.衣服；穿着，装饰
arrears n.欠债
arrest v.阻止；引起注意；吸引
arrogance n.傲慢，骄傲
arroyo n.干枯的河床
arsenal n.军火库
articulate a.有效的；独特的
artifact n.人造物品
artifice n.技巧；欺骗
artisan n.工匠
artless a.坦诚；直率
ascendancy n.统治，控制
ascertain v.确认，确证
ascetic a.苦行；禁欲
ascribe v.归因于；指派
aseptic a.抗菌的
ashen a.灰色
asinine a.愚蠢
askance a.瞄，不经意的斜视
askew a.歪斜
asperity n.严酷，粗暴
aspirant n.有志者；有抱负的人
aspire v.热望；热心于
assail v.攻击
assay v.分析；化验
assent v.同意；接受
assert v.断言
assessment n.评价，评估；判断
assiduous a.勤奋
assimilate v.吸收；同化
assuage v.减轻（痛苦）；满足（饥渴）；安慰
assumption n.假定，设想；采取
assurance n.担保，保证；确定；自信
asteroid n.小行星
astigmatism n.散光
astral a.关于星的
astringent a.收敛的
astronomical a.巨大，广阔
astute a.聪明；敏锐
asunder ad.分裂，分开
asylum n.庇护所
asymmetric a.不对称
atavism n.反祖；隔代遗传
atheistic a.无神论
atlas n.地图集
atone v.补偿；偿还
atrocity n.暴行
atrophy n.萎缩，变得没用
attain v.获得；完成
attentive a.专心的，专注的；全神贯注
attenuate v.削弱
attest v.证明
attribute n.属性
attribute v.归因于；解释
attrition n.裁员；磨损
atypical a.非正常的，不正常
audacious a.大胆的；鲁莽的
audit n.核算，稽核
auditory a.听觉的
augment v.增长
augury n.占卜；预言
august a.威严的；令人印象深刻的
aureole n.日冕
auroral a.曙光的，极光的
auspicious a.幸运的，吉祥的
austere a.严厉的；朴素的
authenticate v.鉴别
authoritarian a.独裁
authoritative a.权威；独裁
autocratic a.独裁
automaton n.机器人
autonomous a.自治
autopsy n.验尸
auxiliary a.辅助的
avalanche n.雪崩
avarice n.贪婪，贪财
avenge v.复仇
averse a.反对的
aversion n.厌恶，抵制
avert v.转移；防止
aviary n.鸟舍
avid a.贪婪
avocation n.副业，业余爱好
avow v.宣布
avuncular a.像伯父（叔叔）一样的
awe n.敬畏
awry ad.扭曲的；歪曲的
axiom n.公理，自明的道理
azure a.天蓝
babble v.嘟囔
bacchanalian a.喝醉的，耍酒疯
badger v.激怒，纠缠
badinage n.开玩笑，揶揄；取消
baffle v.挫败
bait v.欺负，玩弄，折磨
baleful a.恶意的，有害的
balk v.反对；阻止
ballast n.配重；沙袋
balm n.（止痛的）安慰物
balmy a.柔和的；芳香的
banal a.平凡，陈腐，老生常谈
bandy v.传话
bane n.祸根
bantering a.可笑的，嘲弄的
barb n.鱼钩，钩状物
bard n.（吟游）诗人
baroque a.华丽的
barrage n.弹幕，火力网
barren a.荒芜的，贫瘠的
barricade n.屏障；障碍物
barterer n.交易商
bask v.享受（温暖）；愉快，舒适
bastion n.堡垒；工事
bate v.限制；抑制
bauble n.小玩意儿
bawdy a.猥亵的；下流的；卖淫的
beam n.光束；铁梁，木梁；一束电波
beatific a.祝福；幸福的
beatitude n.祝福
bedizen v.俗丽，俗气
bedraggle v.邋遢的；湿的
beeline n.直线
befuddle v.迷惑
beget v.得子；产生
begrudge v.愤恨；嫉妒
beguile v.欺骗，骗住；消磨时间
behemoth n.怪物；怪兽
belabor v.嘴贫，过度的说；谩骂
belated a.推迟的，延期的
beleaguer v.攻击；使烦恼
belie v.掩饰，造成假象；矛盾
belittle v.蔑视，使渺小
bellicose a.好斗的，好战的
belligerent a.好斗的，好斗嘴的
bemoan v.哀叹，悲伤
bemused a.困惑的，发呆的
benediction n.祝福
benefactor n.恩人，赞助人
beneficial a.有用的
beneficiary n.（遗产）受益人
benevolent a.慈善的
benign a.良性的，好的；和蔼可亲的
bent a.&n.先天的
bequeath v.遗赠，（代代）相传
berate v.严厉指责，谴责
bereavement n.丧亲
bereft a.失去的，缺少的
berserk ad.疯狂的，狂暴的
beseech v.乞求，恳求
beset v.困扰
besiege v.围攻
besmirch v.弄脏
bestial a.残忍的
bestow v.给予
betoken v.预示；表示
betray v.出卖；背叛
betroth v.订婚
bevy n.一群（少女，小鸟）
biased a.偏见的，偏差
bicameral a.两院制的（参，众）
bicker v.争吵
biennial a.两年一度
bigotry n.固执
bilious a.消化不良，易怒
bilk v.骗
billowing a.波涛翻滚
bivouac n.帐篷
bizarre a.怪异的
blanch v.漂白
bland a.温和的
blandishment n.阿谀奉承
blare n.大声喊叫，令人眩晕的强光
blase a.厌于享乐
blasphemy n.亵渎
blatant a.喧闹；俗丽
bleak a.冷淡；凄凉
blighted a.完蛋了的；生病了的
blithe a.欢乐，高兴
bloated a.浮肿
bludgeon n.大头狼牙棒
bluff a.直率的
bluff n.虚伪；欺骗；悬崖
blunder n.错误
blurt v.脱口而出
bluster v.咆哮；吓唬
bode v.预兆
bogus a.赝品
bohemian a.不合习俗；放荡不羁
boisterous a.狂暴；喧嚣
bolster v.支持，增援
bolt n.门闩；螺钉；布匹的长度
bolt v.猛冲，上门闩，囫囵吞下
bombardment n.轰击（导弹）
bombastic a.夸张的
booming a.快速增长的，欣欣向荣；深刻的
boon n.恩惠，福利
boorish a.粗鲁；笨拙
boundless a.无限的
bountiful a.富足的；慷慨的
bourgeois a.中产阶级；平庸的
bovine a.牛的；迟钝的；耐心的
bowdlerize v.删除
boycott v.抵制
braggart n.自夸，吹嘘
brandish v.挥舞
bravado n.虚张声势
brawn n.强壮的肌肉
brazen a.厚颜无耻；傲慢
breach n.违约；突破；打破
breadth n.宽度
brevity n.简短，短暂
brindled a.有条纹或斑点的
bristling a.竖立的
brittle a.易碎的；困难的
broach v.介绍，提出，引见
brochure n.小册子
brooch n.胸针
browbeat v.吓唬
browse v.吃草；浏览
brunt n.冲击
brusque a.唐图；直率；粗暴无礼
buccaneer n.海盗
bucolic a.田园的
buffet n.自助餐
buffet v.殴打，斗殴
buffoonery n.滑稽的
bullion n.金条，银条
bulwark n.壁垒
bumptious a.盲目自大
bungalow n.小平房
bungle v.搞砸
buoyant a.可漂浮的，乐观的
bureaucracy n.官僚机构
burgeon v.发芽，成长
burlesque v.作秀，滑稽
burly a.魁伟，结实
burnish v.擦拭
bustle v.喧嚣，繁忙，熙熙攘攘
buttress v.支持
buxom a.丰满；充满活力；欢快
cabal n.内阁
cache n.藏身之处
cacophonous a.不和谐
cadaver n.尸体
cadaverous a.尸体似的，苍白的
cadence n.平仄，重音
cajole v.哄骗，勾引
calamity n.灾难，不幸
calculated a.预先计划好的，算好的；合适的
caldron n.大锅
caliber n.能力；品质
calligraphy n.漂亮的书法
callous a.硬心肠的，无情的
callow a.年幼，稚嫩；无经验
calorific a.产热的
calumny n.诽谤；中伤
camaraderie n.友情
cameo n.贝壳上的浮雕；特写（演员）
camouflage v.伪装
candor n.开诚布公；坦率
canine a.狗的
canny a.谨慎的；节约的
cant n.伪善；黑话
cantankerous a.脾气坏；易发怒
cantata n.大合唱；康塔塔
canter n.慢跑
canto n.（长诗的）分篇
canvass v.调查；投票
capacious a.宽敞的
Capacity n.能力；角色
capitulate v.投降
caprice n.反复无常；一时幻想；奇怪的想法
capricious a.反复无常的
caption n.标题
captivate v.迷住；迷惑
carat n.克拉；开；K
cardinal a.主要的
cardiologist n.心脏病专家
careen v.倾斜
caricature n.歪曲；漫画；讽刺画
carnage n.残杀；大屠杀
carnal a.肉体的；欲望的
carnivorous a.食肉的
carping a.挑剔的，吹毛求疵
cartographer n.制图者，制地图的人
cascade n.小瀑布
castigate v.严厉批评；惩罚
casualty n.严重的事故；伤亡
cataclysm n.巨变；剧变；灾难
catalyst n.催化剂
catapult n.弹弓；弹舐器
cataract n.大瀑布；白内障
catastrophe n.灾难
catcall n.嘘声
catechism n.教义问答手册；FAQ,Q&A
categorical a.无条件；直截了当
to v.迎合
catharsis n.导泻，通便；疏泄
catholic a.一般的，普遍的；天主教
caucus n.核心小组会议（秘密）
caulk v.填；补漏
causal a.因果关系的
caustic a.腐蚀；挖苦
cavalcade n.队伍
cavalier a.随便；傲慢
cavil v.挑剔
cede v.放弃；屈服于；投降
celebrated a.名人
celerity n.速度
celestial a.天体的
celibate a.未婚的，独身的
censor n.审查
censorious a.批判的
censure v.责怪；批评
centigrade a.华氏
centrifugal a.离心；放舐
centripetal a.向心
centurion n.百夫长
cerebral a.脑的；智力的
cerebration n.思考
ceremonious a.隆重的
certitude n.确实
cessation n.停止
cession n.给与；割让
chafe v.摩擦；擦热
chaff n.废物；糠；假货；开玩笑；打趣
chaffing a.开玩笑
chagrin n.伤自尊；委屈
chalice n.圣餐杯
chameleon n.变色龙
champion v.拥护
Chaotic a.混乱
charisma n.魅力
charlatan n.吹牛
chary a.谨慎；吝啬
chasm n.深渊
chassis n.底盘
chaste a.纯的
chasten v.磨练
chastise v.惩罚
chauvinist n.盲目爱国主义
check v.控制；阻止
checkered a.多变的；像国际象棋棋盘一样的方格
cherubic a.天真无邪
chicanery n.强辩，狡辩；欺骗
chide v.斥责
chimerical a.不现实，空想
chisel n.凿子
chisel v.欺骗
Chivalrous a.勇敢；诚实
choleric a.易发怒的；脾气坏
choreography n.舞蹈术；舞蹈记谱
chortle v.得意的笑
chronic a.慢性的
chronicle v.编年史
churlish a.粗鲁的
cipher n.密码
cipher n.不重要的人或物
circuitous a.迂回的
circumlocution n.婉转曲折的表达
circumscribe v.限制
circumspect a.慎重；周到
circumvent v.智取；包围
cistern n.水塔；水库
citadel n.大本营
cite v.引用；掌握
Civil a.民事的；国民的
clairvoyant a.&n.预知；预言者
clamber v.爬
clamor n.吵闹声；噪音
clandestine a.秘密
clangor n.大声喧哗；持续的铿锵声
clapper n.铃舌，钟舌
clasp n.扣合；紧密合作
claustrophobia n.幽闭恐怖症
cleave v.劈开；黏着；忠于
Cleft n.裂缝；开裂
clemency n.温和；仁慈
clench v.牢牢抓住
cliche n.陈词滥调
clientele n.常客
climactic a.顶点的，高潮的
clime n.地域；气候
Clip n.剪辑
clique n.小圈子；同行
cloister n.修道院
Clout n.巨大的影响（政治\社会）
cloying a.倒胃口；过度的
Clump n.一块，一团；沉重的脚步声；草丛，灌木丛
coagulate v.凝结
coalesce v.接合
coalition n.伙伴；同盟，集合
coddle v.娇养，溺爱
codicil n.遗嘱的附录
codify v.编纂
coercion n.威逼，强迫
cogent a.有说服力的
cogitate v.考虑
cognate a.同源的
cognitive a.认知的
cognizance n.认知
cohere v.粘住的
cohesion n.内聚力；黏度
coiffure n.发型
coin v.铸币；发明；杜撰
coincidence n.巧合
colander n.过滤器
collaborate v.协作，合作
collage n.拼贴画
collate v.校对，整理
collateral n.抵押品
colloquial a.口语的
collusion n.勾结
colossal a.巨大
comatose a.昏迷；熟睡
combustible a.易燃的
comely a.清秀，美丽，漂亮；有吸引力的
comeuppance n.报应
commandeer v.征用，招募
commemorate v.纪念
commensurate a.相当的，相称的
commiserate v.怜悯，同情
commodious a.宽敞，舒适
communal a.公共的
compact n.合约，合同
compact a.紧密的，结实的
comparable a.相似的
compatible a.和谐的
compelling a.强制的
compensatory a.补偿
compile v.聚集，积累，汇集
complacency n.自满；装模作样
complaisant a.彬彬有礼；殷勤
complement v.补足；完善
complementary a.补足的，完善的
compliance n.顺从
compliant a.顺从
complicity n.共犯，共同
component n.成分
composure n.镇定，沉着
compound v.混合；组合；增加
comprehensive a.全面的
compress v.压缩
comprise v.包括
compromise v.危害；妥协
compunction n.后悔
compute v.计算
concave a.空的
concede v.勉强，让步，屈从
conceit n.自负，自大；离奇古怪的想法
concentric a.同心
conception n.开始，构思
concerted a.协调的
concession n.让步
conciliatory a.抚慰，调和
concise a.简练
contrived a.做作的；牵强的
controvert v.辩论；反驳
contusion n.擦伤；撞伤
conundrum n.谜语
convene v.召集，集合
convention n.习俗，惯例
conventional a.典型的；普通的
converge v.聚合；接近
conversant a.熟悉
converse n.相反的
converse v.聊天
convert n.改变；转换；皈依
convex a.凸的
conveyance n.运输；交通工具
conviction n.定罪；深信
convivial a.欢乐；高兴
convoke v.召集
convoluted a.围绕，卷绕；费解
Copious a.丰富的，大量的
coquette n.卖弄风情的女子；蜂鸟
cordial a.亲切；衷心
cordon n.警戒线
cornucopia n.象征丰饶的羊角
corollary n.结果，产物
coronation n.加冕
corporeal a.肉体的，物质的
corpulent a.肥胖
correlation n.相互的关系
corroborate v.确认；支持
corrode v.腐蚀
corrosive a.腐蚀性的
corrugated a.皱的
Cosmic a.宇宙的；巨大的
cosmopolitan a.世界主义
coterie n.同行，圈内人
countenance v.忍受；接受
countenance n.脸
countermand v.取消；废除
culvert n.水管
cumbersome a.粗笨的；累赘
cumulative a.累积
cupidity n.贪婪
curator n.主管；经理
curmudgeon n.脾气坏；吝啬
cursive a.流动的；连接的
cursory a.草率；匆忙
curtail v.减短；降低
cynical a.愤世嫉俗
cynosure n.广受注意的目标
dabble v.涉猎，尝试；溅
dais n.讲台
dank a.湿的；湿透的
dapper a.整齐的，优雅的
dappled a.有斑点的
daub v.涂抹
daunt v.惊吓；胁迫
dauntless a.胆大的
dawdle v.游手好闲；混日子
deadlock n.僵局
deadpan a.没有表情的；呆板的
dearth n.稀缺；缺乏
debacle n.崩溃
debase v.贬低，降低
debauch v.堕落，放荡
debilitate v.使虚弱，衰弱
debonair a.温文尔雅；友好；殷勤
debris n.碎片；残骸
debunk v.揭穿；奚落
debutante n.初次参加社交活动的女孩
decadence n.颓废；腐坏
decapitate v.斩首，杀头
decelerate v.减慢
deciduous a.落叶的
decimate v.残杀（十个里面杀一个）
decipher v.破译，解密
declivity n.下坡
decollete a.低肩露颈的服装
decomposition n.瓦解；腐烂
decorum n.礼貌；温文尔雅
decoy n.引诱
decrepit a.老化，磨损
decrepitude n.衰老；老耄
decry v.强烈反对
deducible a.可推导的，可推论的
deface v.丑化
defame v.丑化；诽谤
default n.不作为，无动于衷
defeatist a.失败主义者
defection n.缺点；逃跑，叛逃
defer v.推迟，延期
defer v.缓招
defer v.听从
deference n.尊重的，尊重他人的
defiance n.抵抗；不屈服
defile v.污染；亵渎
definitive a.完全的；最终的
deflect v.反舐，偏转
defoliate v.落叶
defray v.偿付
deft a.灵巧的，敏锐地
defunct a.死的；不存在的，报废的
defuse v.拆弹；化解（危机）
degenerate v.恶化
degradation n.降级；降格；退化
dehydrate v.脱水
deify v.神化
deign v.屈服，屈尊
delectable a.使人愉快的
delete v.删除
deleterious a.有害的
deliberate v.深思熟虑的；商讨
delineate v.描绘；描述
delirium n.精神错乱
delude v.盅惑
deluge n.冲（水）（刺）
delusion n.错觉
delve v.挖掘；调查
demagogue n.煽动政治家
demean v.降级；贬低
demeanor n.风度；行为
demented a.疯狂的
demise n.死
demolition n.拆除
demoniac a.魔鬼的
demur v.反对；犹豫
demure a.端庄的；认真的；腼腆的
demystify v.澄清；揭秘
denigrate v.抹黑
denizen n.居民；常客
denotation n.指示；根据名字区别
denouement n.结局；结果
denounce v.咒骂；批评
depict v.描述
deplete v.耗尽；减少
deplore v.悔恨
deploy v.散开；部署
depose v.革职
deposition n.宣言，誓言
depravity n.堕落，腐坏
deprecate v.抗议；蔑视
depreciate v.折旧
depredation n.掠夺
deranged a.不理智
derelict a.遗弃的；废弃的
deride v.打趣；取消
derivative a.派生的
dermatologist n.皮肤病专家
derogatory a.贬低的，贬损的
descant v.全面而详细的讨论
descry v.看到
desecrate v.亵渎
desiccate v.弄干
desolate a.荒无人烟的
desolate v.放弃
despise v.鄙视，轻视
despoil v.掠夺
despondent a.忧郁的；沮丧的
despot n.暴君
destitute a.一贫如洗
desultory a.慢无目的的；断断续续的
detached a.分离的
detergent n.洗洁精；洗涤剂
determination n.决定；测量，计算；解决
deterrent n.挫败；使气馁
detonation n.引爆，爆炸
detraction n.诽谤
detrimental a.有害的
deviate v.背离
devious a.拐弯抹角的；偏僻的
devise v.设计；发明
devoid a.缺乏的
devotee n.热心的追随者
devout a.虔诚的；诚恳的
dexterous a.灵巧的；右撇子
diabolical a.恶魔的
diagnosis n.诊断
discomfit v.扰乱
discomposure n.心乱；不安
disconcert v.迷惑；扰乱；使难堪
disconsolate a.悲伤；沮丧
discord n.冲突的；不和谐的
discordant a.不和谐的；冲突的
discount v.漠视；解散
discourse n.演讲；谈话
discredit v.不信任；丢脸
discrepancy n.相差；缺乏一致
discrete a.分离；没有关系的
discretion n.判断力；审慎的
discriminating a.有识别能力的；有偏见的
discursive a.散漫的；不得要领的
disdain v.蔑视
disembark v.登陆；靠岸
disenfranchise v.剥夺（公民权）
disengage v.脱离；分离
disfigure v.诬陷，抹黑，诽谤
disgorge v.吐出，涌出，呕吐
disgruntle v.使郁闷
dishearten v.挫败
disheveled a.邋遢，肮脏
disinclination n.不情愿，厌恶
disingenuous a.不诚恳的
disinter v.挖出，出土
disinterested a.公允的
disjointed a.断开
dislodge v.强制移除
dismantle v.拆除
dismay v.使沮丧；使害怕
dismember v.分解，肢解
dismiss v.拒绝；排除
disparage v.忽略，轻视
disparate a.大相径庭的；没关系的
disparity n.不同；差距
dispassionate a.平静的；公平的
dispatch n.急速；急件
dispel v.散开；分裂；消失
disperse v.散开
dispirited a.没情绪的，沮丧的
disputatious a.好辩的
disquiet v.使焦虑，使难受
dissection n.分析；解剖
dissemble v.伪装，做作，掩饰
disseminate v.分发，扩散，散布
dissent v.反对
dissertation n.论文（博士生）
dissident a.持不同意见的；难于对付的
dissimulate v.伪装，做作，掩饰
dissipate v.驱散，消散；浪费
dissolute a.放纵，挥霍
dissolution n.解散；终止；解体
dissonance n.不和谐的（声音）
dissuade v.劝阻；使灰心
distant a.冷漠的；远离的
distend v.扩大；扩张
distill v.蒸馏；萃取，提炼，提纯
distinction n.出名；出格
distort v.扭曲，歪曲
distraught a.使悲伤；使焦虑
diurnal a.日常的
diva n.著名女歌唱家，天后；歌剧女主角
diverge v.多样的；各异的
divergent a.分歧的
diverse a.丰富多样的
diversion n.转移；解闷
diversity n.多样性
divest v.剥夺
divine v.运用直觉，超能力；预见
divulge v.揭开，暴露
docile a.驯服的，听话的；善良的
doctrinaire a.教条的；顽固的
doctrine n.教育；学说
document v.书面证明
doff v.脱
dogged a.顽固的；顽强的
doggerel n.打油诗
dogmatic a.独断的，教条的，固执的
doldrums n.忧郁，悲伤
doleful a.悲伤
dolt n.愚蠢的人，蠢货
domicile n.家
domineer v.暴力压制
don v.穿上
doodle v.涂鸦；浪费时间
dormant a.睡着的；隐匿的
dormer n.天窗
dossier n.档案，资料
dote v.昏聩；溺爱
douse v.浸泡；弄湿；弄灭
dowdy a.邋遢的；衣衫不整
downcast a.沮丧
drab a.迟钝的；单调的
draconian a.极其严重
dregs n.沉淀物；残渣
drivel n.胡言乱语；愚蠢
droll a.滑稽可笑；离奇古怪，怪里怪气
drone n.闲人；雄蜂
drone v.嗡嗡声；语气呆板的声音
dross n.渣滓，废物
drudgery n.苦差事，苦工
dubious a.可疑的
ductile a.柔软的，有韧性
dulcet a.甜美的（声音）
dumbfound v.使人惊讶
dupe n.易被开涮的人
duplicity n.奸诈，狡猾；伪善；两面三刀，两面派
duration n.持续时间
duress n.（非法的）限制，关押
dutiful a.恭敬的；尊重的
dwarf v.使看上去矮小
dwindle v.缩水；减少
dynamic a.充满活力的
earthy a.粗糙的；未加工的
ebb v.衰退
ebullient a.热情的，激动的
eccentric a.古怪的，奇怪的
eccentricity n.怪僻，古怪；特性
ecclesiastic a.神职的
eclectic a.折衷的
eclipse v.超越；衰落；失色
ecologist n.生态学家
economy n.俭省节约的，经济的
ecstasy n.全神贯注，入迷，高兴
eddy n.漩涡
edict n.法令，号令；布告
edify v.教导；启迪，陶冶
eerie a.怪异的
efface v.抹掉
effectual a.有效的
effervescence n.泡腾，沸腾；兴奋，活泼
efficacy n.功效
effigy n.假人（被人憎恨的，如秦桧）
effrontery n.厚颜无耻
effusive a.激情澎湃的
egoism n.自我中心，利己主义
egotistical a.极度自我中心；自以为是，逞能
egregious a.及其令人痛恨的，声名狼藉；令人吃惊的
egress n.出口
ejaculation n.迸出；惊叹
elaboration n.细节；复杂
elated a.过分高兴的；兴高采烈
elegy n.挽歌，悲歌
elicit v.得出
elixir n.包治百病，万能药
ellipsis n.省略
elliptical a.椭圆的；有意模棱两可的
eloquence n.雄辩；修辞
elucidate v.解释；启迪
elusive a.难懂的，难捉摸的；令人困惑的
emaciated a.瘦弱的，脆弱的
emanate v.散发，发出
emancipate v.释放，解放
embargo n.禁运
embark v.开始旅程，开始，登机，上船，上车
embed v.封装，嵌入，插入
embellish v.装饰
embezzlement n.偷窃，侵占
embody v.具体化；包含，收录
embrace v.拥抱；接受，包含
embroider v.镶边，绣花；添油加醋
embroil v.连累，牵连；使其混乱，麻烦缠身
embryonic a.胚胎的；未开发的，原始的
emendation n.改进；修订
eminent a.高的
emissary n.代理；信使，使者
emollient n.缓和，安抚
empathy n.移情作用，心入
empirical a.经验主义
emulate v.仿效；抗衡
enamored a.爱情的；坠入爱河的
encipher v.编码
enclave n.飞地
encomium n.赞美之词
encompass v.包围
encroachment n.侵蚀；“和平演变”
encumber v.拖累，负担
endearment n.爱慕；爱的表示
endemic a.地方的；小范围内流行
endorse v.认可，默许；支持
enduring a.持久的；不朽的
energize v.鼓舞
enervate v.使变弱
enfranchise v.赋予公民权（投票权）
