vociferous 大声嚷叫的;大事声张的;喧嚷的,吵闹的,叫嚣的
impromptu 即席地[的],临时地[的],事先无准备地[的]
dogmatic 教条的；武断的
clandestine 秘密的，私下的
sanguine 乐观的;自信的;怀有希望的;嗜血的,血腥的;残忍的
doctrinaire 空谈理论的人,纯理论家,教条主义者
autonomous 自治(权)的;自主的
intransigent 不让步的,不妥协的;难和解的,势不两立的
authoritative 有权威的;可信的;命令的;独断强制的;绝对的;当局的,官方的
fundamentalism 原教旨主义
ambiguous 有两种或多种意思的;含糊的,模棱两可的,暧昧的
lavish 大方的,丰富的,浪费的
overabundance 太多,过于丰富;多余物,奢侈品,不必要的东西
corpulent 肥胖的
vexed 烦恼的,苦恼的;恼火的
succulent 新鲜的,极有趣的;有活力的
redolent 芬芳的;有某种意味的;暗示某种思想[感情]的
cerebral 大脑的,脑的;(文艺等)触动理智的;理智方面的(指非感情方面的)
mandatory 强制性的;[美]强迫的,义务性质的
misconception 错误理解的
thwart 横放的；阻挠的
forfeit 因被罚而)丧失(所有权);(因犯罪等而)失去(职位、生命等);(因过劳等而)失掉(健康等)
commendable 值得赞扬的
harangue 高谈阔论;冗长的说教文章;猛烈的口头攻击;训斥
intemperate 无节制的;放纵的;过度的;激烈的
radical 基本的,根本的;重要的,主要的;固有的;激进的,极端的,过激的
enrage [常用于被动式]触[激]怒,使人愤怒
conciliatory 安抚的,和好的,调和的
indulgent 放纵的;宽容的,溺爱的
halting 踌躇的;不完整的;暧昧的;优柔寡断的
robust 结实的
facile 容易的,易做到的;易得的;灵巧的;机敏的;伶俐的;平易近人的;(性格)随和的;易打交道的;不深刻的,无意义的
imperious 专横的;傲慢的;命令式的
inscrutable 费解的,莫测高深的,不可思议的;不可透视的
convivial 宴会的，欢乐的
histrionic 演员的,演剧的,矫揉造作的
solicitous 渴望[热心]...的;热切要求...的(todo;of)
insular 象岛的;孤立的;隔绝的；思想狭窄的;保守的;有偏见的
wicked 邪恶的;不道德的;恶劣的;性情凶恶的
autocrat 专横霸道的人;独断专行的人
dictator 命令者,独裁者
defiance 挑衅
toady 拍马屁的人
tyrant 暴君;暴虐专横的人
connoisseur (美术品的)鉴定家，行家，权威(in,of)
adulation 谄媚；奉承
superior 长者,占优势的人,上级
sycophant 奉承者,谄媚者,追随者;a.拍马的,奉承的
callous 无情的;无感觉的(to);无同情心的(to)
arable 适于耕种的,可耕的
membranous 膜的,膜状的
viscous 粘的,胶粘的;【物】有粘性的
articulation 发音;发音的方法
spontaneity 自然发生,自生,自发
profundity 深奥;深刻;奥妙
heterogeneity 异种,异质,不同成分
reprehensible 应受责难[申斥]的
palliative 减轻的;缓和的
depreciatory 贬值的,贬低的,蔑视的,跌价的
litigious 好诉讼的,爱争论的
compendious 简明扼要的；简略的；摘要的
prey 被捕食的动物;[喻]受害的人,牺牲者[品]捕获;
nemesis 复仇者;给以报应者
distribution 分配
accelerate 加速
perishability 易腐烂性;易朽性;腐败性
dearth 缺乏;饥荒
inevitable 不可避免的;无法避免的;必然(发生)的
discord 不一致,不调和;倾轧;【音】不谐和(音)
rivalry 竞争；对抗
redundant 冗长的
somber 忧郁的，郁闷的
demonstrative 令人信服的
insufferable 难忍受的;受不了的,难堪的
bountiful 宽宏大量的,慷慨的,大方的
wistful 渴望的,不满足似的
brevity 短；短暂
rigidity 坚硬;僵硬;不变;【物】刚性;刚度
floridity 鲜丽,脸色好
opacity 意义模糊;暧昧
irrepressible 压服不了的,抑制不住的
counterproductive 起反作用的
negligible 可以忽略的;无足轻重的;很小的,微不足道的
momentous 重大的,重要的,声势浩大的
magnanimous 心胸宽阔的,高尚的,气量大的;崇高的
erratic 不稳定的,无规律的,漂泊的;反复无常的,古怪的;乖僻的
elaborate 精致的，精巧的
idiosyncratic 特殊物质的,特殊的,异质的
preventive 预防的,防护的
regressive 后退的,退化的,回归的
catastrophic 悲惨的,灾难的
unforseen 意料之外的,未预见到的,偶然的
moderate 有节制的,稳健的;温和的;中庸的;中等的;适度的,普通的
devoid 缺乏的,空的,无的
disparaging 轻蔑的,贬低的;毁谤的
disfortune 倒霉,不幸(的事)
scoff (特指对宗教的)嘲弄[笑],藐视
temporize 顺应时势，顺应潮流
misbehave (使)行为无礼貌,(使)行为不端
sneer 嘲笑,冷笑,讥笑
proscratinate 耽搁,拖延,迟滞
deflect (使)偏斜,(使)转向,(使)弯曲
dalliance 调戏;戏弄
infelicity 不幸的;不快乐的;不适当的,不贴切的,拙劣的
conviction 判决有罪，定罪
pragmatism 实用主义,功利主义
futility 实用主义,功利主义
boorish 乡下气的,粗鲁的,土俗的;粗野的
fastidious 爱挑剔的;吹毛求疵的;难取悦的;过分讲究的;苛求的
sedulous 勤勉的;孜孜不倦的
vindictive 复仇的;报复的
petulant 性急的,易怒的,脾气坏的
mercenary 为钱的,唯利是图的,贪财的;被雇佣的
treacly 甜蜜的,象糖蜜的,如糖蜜一样甜的
cursory 匆匆忙忙的,粗略的,草率的
prosaic 散文的,散文体的,平凡的
meticolous 小心翼翼的
consecrated 神圣的,被视为神圣的
remiss 玩忽职守的
contemptuous 轻蔑的,侮辱的
interrogation 审问,问号
fortify 设防于,增强(体力,结构等)使坚强,增加,(酒)的酒精含量
conflagrate 燃烧,着火
foster 养育,抚育,培养,鼓励,抱(希望)
quell 镇压
ineffable 不能说的,不应说出的,避讳的
consummate 圆满的,至上的,完美的
presumptive 假定的
deleterious 有害的,有毒的
sermonize 说教,布道,说大道理与人听
fidelity 忠实,诚实,忠诚,保真度
steadfast 坚定的
polarize (使)偏振,(使)极化,(使)两极分化
vindicate 维护,辩护,表白
disernment 识别力,眼力,洞察力
holistic 整体的,全盘的
sensure 责难
animosity 仇恨,憎恶
equitable 公平的,公正的,平衡法的
eulogy 赞词,颂词,歌功颂德的话
secretiveness 隐匿,分泌
counsel 讨论,商议,辩护律师
concord 和谐,一致,和睦
contagious 传染性的,会感染的
inaudible 听不见的,不可闻的
propensity 倾向
futile (futility)琐细的,无用的,无效果的,(人)没有出息的
formidable 强大的,令人敬畏的,可怕的,艰难的
decisive 决定性的
shroud 裹尸布,寿衣,覆盖物,船的横桅索
instantaneous 瞬间的,即刻的,即时的
intermittent 间歇的,断断续续的
dubious 可疑的,不确定的
extravagant 奢侈的,浪费的,过分的,放纵的
sumgness 装模做样,矫矜
toxic 有毒的
inane 空洞的
scrutinize 细察
jeopardize 危害
subtract 减去,减
ornate 装饰的,华丽的,(文体)绚丽的
retrieve 重新得到
multifarious 种种的,各式各样的
scarece 缺乏的,不足的,稀有的,不充足的
extract 拔出,榨取,开方,求根,摘录,析取,吸取
anachronistic 时代错误的
extrapolate 推断,[数]外推
byzantine 东罗马帝国的,拜占庭式的;爱玩弄阴谋的;诡计多端的
adroit 熟练的,机捷的
nefarious 邪恶的,穷凶极恶的
conscientious 认真（负责）的，真心实意的，细心的
devious 不正直的;有偏差的,弯曲的;迂回的;误入歧途的;狡滑的
lackadaisical 懒洋洋的
oneous 繁重的,费力的,负有法律责任的
slipshod 漫不经心的
patronage 保护人的身份,保护,赞助,光顾
sophistry 诡辩
receptivity 感受性,接受能力
substantiate 使实体化,证实
supplement 补充
undermine 破坏
remedy 治疗,补救,矫正,修缮,修补
curtail 缩减,减少(经费等),剥夺(某人的)特权(或官衔等),简略
epitome 摘要
proponent 建议者,支持者,[律]提出认证遗嘱者
embodiment 体现,具体化,化身
debunk 揭穿,拆穿假面具,暴露
belittle 轻视,使渺小,使...显得渺小
partisanship 党派性,党派偏见
acumen 敏锐,聪明
reverent 尊敬的,虔诚的
irreverent 不尊敬的
ingenuous 坦白的,自然的,直率的
arcane 神秘的,不可思议的
abstruse 奥妙的,深奥的
didactic 教诲的,说教的
lucid 明晰的
esoteric 深奥
insolent 傲慢的,无礼的,侮慢的
petty 小的,不重要的,小规模的,小型的,细微的,小器的,卑鄙的
egotistical 自我本位的,任性的
conspicuous 显著的
inconspicuous 不显眼的,不引人注意的
resourceful 资源丰富的,足智多谋的
courteous 有礼貌的,谦恭的
tenacious 顽强的
indiscriminate 不分皂白的,不加选择的
rationalism 理性主义,唯理论
effacement 抹消,抹杀
conformism 盲目因袭的态度,因循守旧
apolitical 非政治的,与政治无关的
sedicious 煽动性的,妨害治安的
insurrectional 叛乱的,起义的
subversive 颠覆性的,破坏性的
corollary 必然的结果,系,推论
precurse 为...的前驱
indictment 控告
mockery 嘲笑
temperamental 由气质引起的,心情变化快的,喜怒无常的
genial 亲切的
congenial 性格相似的,适意的
vulnerable 易受攻击的,易受...的攻击
reclusive 隐遁的,隐居的
knack 诀窍
penchant (强烈的)倾向,趣味
pilfer 盗,偷,窃
dispense 分发,分配
predilection 爱好,偏袒
raid 奇袭,搜捕
prestigious 享有声望的,声望很高的
derive 起源
diminished 减少了的,被贬低的
detachment 分开,拆开,特遣部队,超然,分离,分遣队
elitist 优秀人材的,杰出者的
perquisite 额外补贴,临时津贴
monarchical 国王的,帝王的
tribulation 苦难,磨难,灾难;艰辛,困苦;忧患
reproachable 应责备的
irreproachable 无可指责的,不可非难的,无缺点的,无过失的
afflictive 带给人痛苦的,苦恼的,难受的
agnostic [哲]不可知论者
eclectic 折衷的,折衷学派的
empiric 经验主义者,<古>江湖医生
phobic 病态性恐惧的
quixotic 唐吉诃德式的,狂想家的
gaiety 欢乐的精神,欢乐的气氛
subdue 征服
indigenous 本土的
recessive 退行的,逆行的,[遗]隐性的
pliant 顺从
arboreal 树的,乔木的,树栖的
witting 有意的,知晓的,故意的
unwitting 不知情的
unswerving 不歪的,不偏离的,坚定的,始终不渝的
elusive 难懂的,难捉摸的,易忘的
antagonistic 反对的,敌对的
extol 赞美
condense (使)浓缩,精简
censure 责难
intensify 加强
glority 使更壮丽,赞扬
endorse 在(票据)背面签名,签注(文件),认可,签署
naivete 天真烂漫,纯真无邪
furtive 偷偷摸摸的,鬼鬼祟祟的,秘密的,私下的,隐密的
venality 受贿
indecisive 非决定性的
sarcasm 挖苦,讽刺
coerce 强制,强迫
disincline 使讨厌,不感兴趣
envision 想象,预想
circumvent 围绕,包围,智取
depersonalize 使失去个性
ameliorate 改善,改进
condone 宽恕,赦免
belabor <古>痛打,不断辱骂和嘲弄,就...作过分的冗长的讨论或分析等
mischievous 有害的,恶作剧的,淘气的,为害
gluttonous 暴食的,饕餮的,贪吃的
supple 柔软的,逢迎的,顺从的
docile 听话的,容易教的,驯良的,温顺的
precision 精确,精密度,精度
polish 擦亮,发亮,磨光,推敲
duration 持续时间,为期
disseminate 散布
confound 使混淆,把...搞混,挫败,讨厌
foreshadow 预示
repertory 仓库
paucity 极小量
barrage 拦河坝,堰,阻塞,(敌军前进的)弹幕射击
libelous (=libellous)损害名誉的,用言语中伤他人的
rehash 改头换面地重复
cacophony 刺耳的音调,不协和音,杂音
lobby 游说议员,经常出入休息室
preclude 排除
enact 制定法律,颁布,扮演
ascertain 确定,探知
consolidate 巩固
contend 斗争,竞争,主张
ratify 批准,认可
motley 杂色的,五颜六色的,穿染色衣的,混杂的
languid 疲倦的,无力的,没精打采的
humane 仁慈的
meager 兆
cipious 很多的,广识的,丰富的
amass 收集,积聚(尤指财富)
voluminous 卷数多的,大部分的,著书多的,容积大的,体积大的,丰满的,长篇的,庞大的
excise 收税,切除
monotonous 单调的,无变化的
embellish 修饰
gratuitous 免费的,无理由的
disillusion 醒悟
benevolent 慈善的
distillate 精华,蒸馏物
aberration 失常
amalgamation 融合,合并
howl 嚎叫,怒吼,嚎啕大哭,喝住,号叫
maternal 母亲的,似母亲的,母性的
vicious 恶的,不道德的,恶意的,刻毒的,堕落的,品性不端的,有错误的
famish (常用被动语态)使挨饿,<古>使饿死
conventional 惯例的,常规的,习俗的,传统的
erroneous 错误的,不正确的
noteworthy 值得注目的,显著的
belie 掩饰
retract 缩回,缩进,所卷(舌等),收回,取消,撤消
revitalize 新生
eradicate 根除
augment 增加,增大
candid 无偏见的,公正的,坦白的,率直的
disarm 解除武装,回复平常的编制,缓和,消除(敌意,疑虑)
empathetic 移情作用的,感情移入的
hysterical a歇斯底里的,异常兴奋的
entourage 周围,环境,随从
interfere 干涉,干预,妨碍,打扰
debacle 崩溃,溃裂
concur 同时发生
faction 派别,小集团,派系斗争,小派系,内讧
pertain 适合,属于
intercept 中途截断
coliation 合并,接合,联合
encompass 包围,环绕,包含或包括某事物
affluence 富裕,富足
affable 和蔼可亲的
equanimous 安静的,镇定的
resilience 弹回,有弹力,恢复力,顺应力,轻快,达观,愉快的心情
truculence 野蛮,粗野,残酷,好战,致命性
equivocal 意义不明确的,模棱两可的,可疑的
unequivocal 不含糊的
impenerable 难以渗透的
penetrable 可穿透的
hackneyed 不新奇的,陈腐的,常见的
grating 刺耳的
dismay 使沮丧,使惊慌
authenticate 鉴别
acerbate 使发怒,使烦恼
exacerbate 恶化,增剧,激怒,使加剧,使烦恼
intrigue 激起...的兴趣,用诡计取得
envelop 包封,遮盖,包围
mar 弄坏,毁坏,损害
offset 弥补,抵销,用平版印刷
dismantle 拆除
compensate 偿还,补偿,付报酬
timeworn 陈旧的,老朽的
edible 可食用的
curative 医疗的
denouce 公开指责,公然抨击,谴责
spurn 弃绝
hasten 催促,赶紧,促进,加速
opt 选择
supplant 排挤掉,代替
finagle 欺骗,哄骗,欺瞒
winnow 簸,扬(谷),吹开糠皮,吹掉,精选
overhaul 检查
waning 渐亏的,逐渐减弱或变小的
encroach (逐步或暗中)侵占,蚕食,超出通常(或正常)界线
bypass 设旁路,迂回
modicum 少量,一点点
discrepant 差异的
surfeit 使饮食过度,使沉溺于
juxtapose 并置,并列
phlegmatic 冷静的,冷淡的
confrontational 主张对抗的
vigilant 警惕着的,警醒的
penurious 吝啬的,缺乏的
flabbergast 使大吃一惊,哑然失色,使目瞪口呆
miff 使恼怒
jade (使)疲倦
embitter 加苦味于,使受苦,使难受,使怨恨,加重
enlighten 启发,启蒙,教导,授予...知识,开导,<古>照耀
negate 否定,打消
conservatism 保守主义,守旧性
converge 聚合,集中于一点
tangential 切线的
exorbitant 过度的,过高的,昂贵的
indiscernible 难识别的,看不见的
stifle 使窒息,抑制
disguise 假装,伪装,掩饰
rousing 鼓舞人的,活跃的,非凡的
onset 攻击,进攻,有力的开始,肇端
foil 衬托,阻止,挡开,挫败,贴箔于
squelch 压制
mitigate 减轻
alacrity 敏捷,活泼,爽快
recriminate 反责,反唇相讥,反控诉
exasperate 激怒
duplicate 复写,复制,使加倍,使成双
delineate 描绘
accentuate 重读,强调,着重强调
demolish 毁坏,破坏,推翻,粉碎
renovate 革新,刷新,修复
derelict 被抛弃了的
raze 夷为平地
salvageable 可抢救的,可打捞的,可挽救的,可挽回的
venerable 庄严的,值得尊敬的,古老的
scour 冲洗,擦亮,(搜索或追捕时)急速走遍
grimy 污秽的,肮脏的
taunt 嘲弄,奚落
nondescript 无可名状的,难以区别的,无特征的
unyielding 坚硬的,不能弯曲的,不屈的
tremulous 震颤的
emphatic 语势强的,用力的,显著的,断然的
lithe (指人、身体)柔软的,易弯的
fickle (在感情等方面)变幻无常的,浮躁的,薄情的
reprieve 暂减,缓期执行
infuse 灌输,注入,沏或泡(茶、药等),浸渍,鼓舞
defer 推迟,延期,听从,服从
induce 劝诱,促使,导致,引起,感应
rebate 减少,打折扣
procure 获得,取得
divert 转移,转向,使高兴
confine 限制,禁闭
scuttle 急促地跑,急忙撤退
cleanse 纯净
drench 湿透
squanter 浪费
liable 有责任的,有义务的,易...的,有...倾向的,负有责任的,很有可能的
retain 保持,保留
orderline 整洁,整齐,规律,秩序井然
credulous 轻信的
morbid 病的,由病引起的,病态的,恐怖的
abate 使(数量、程度等)减少,减轻,除去,缓和,打折扣
prosper 成功,兴隆,昌盛,(指上帝)使成功,使昌隆,繁荣
flourish 繁荣,茂盛,活跃,手舞足蹈,兴旺,处于旺盛时期
innocuous 无害的,无毒的,无伤大雅的,不得罪人的
indomitable 不屈服的,不屈不挠的
expeditious 迅速的,敏捷的
astute 机敏的,狡猾的
insolvent 破产的
fraudulent 欺诈的,欺骗性的,骗得的
prudent 谨慎的
speculative 投机的
subordinate 次要的,从属的,下级的
obstinate 倔强的,顽固的
hubris 骄傲,傲慢,（狂妄自大）
impetuous 冲动的,猛烈的,激烈的
valor 英勇,勇猛
sedate 安静的,稳重的
validate [律]使有效,使生效,确认,证实,验证
disclaim 放弃,弃权,拒绝
rambunctious 粗暴的,骚乱的,难控制的
indecent 下流的,猥亵的,<口>不象样的,不妥当的
excessive 过多的,过分的,额外
seclude 隔离
scrupulous 小心谨慎的,细心的
circumscribe 在...周围画线,限制
animated 活生生的,活泼的,动的,愉快的
corroborate 使坚固,确证
extant 现存的,未毁的,<古>突出的,显著的
dwindle 缩小
debilitate 使衰弱,使虚弱
irresolute 犹豫不决的
officious 多管闲事的,非官方的,非正式的
rancorous 深恨的,怀恶意的
punctilious 拘泥细节的,谨小慎微的,一丝不苟的
myopic 近视的
trivialize 使平凡,使琐碎
apprehensive 有理解力的
agitate 搅动,摇动,煽动,激动
serene 平静的
placid 平静的
forthright 直接的,直率的,坦白的,豪爽的
dilatory 拖拉的,不慌不忙的
meticulous 小心翼翼的
peevish 易怒的,暴躁的,带怒气的,倔强的
despoil 夺取,掠夺
incompetent 不合格的,不胜任的
shrewd 精明
imprudent 轻率的,鲁莽的
denude 使裸露,剥下,剥夺,脱毛
dispatch 分派,派遣
immersion 沉浸
occlusion 闭塞,锢囚锋
enstrangement 疏远
exonerate 免除,证明无罪
reprimand 申斥
perceive 察觉
publisize 宣扬
repeal 废止,撤销,否定,放弃,废除
stipulate 规定,保证
opulence 富裕
disclose 揭露,透露
compress 压缩,摘要叙述
disintegration 瓦解
distension 膨胀,延伸
dehydration 脱水
aptitude 恰当,智能,聪明,自然倾向
eccentric 古怪
emancipate 释放,解放,[律]使(孩子.妻子)摆脱家长的管教而获得合法权利
erudite 博学的
enigma 谜,不可思议的东西
obsequious 谄媚的,奉承的,拍马屁的
consumption 消费,消费量,肺病
dispersion 散布,驱散,传播,散射
husbandry 管理
stockpile 储蓄,贮存
extirpation 消灭,根除,毁灭
verbalizable 可用言辞表达的
cognition 认识
condemn 判刑,处刑,声讨,谴责
plaudit 喝采
pathos 痛苦,感伤,悲怅,哀婉
texture (织品的)质地,(木材,岩石等的)纹理,(皮肤)肌理,(文艺作品)结构
disclosure 揭发,败露,败露的事情
stratify (使)成层
fitful 断断续续的,一阵阵的,间歇的,不定的,不规则的
collaborative 合作的,协作的,协力完成的
vicarious 代理人的
corresponding 相应的,通讯的
rudimentary 根本的,未发展的
reassuring 安心的,可靠的
insipid 没有味道的,平淡的
soporific 催眠的,想睡的
odorifeous 散发气味的,臭的
archaic 古老的,古代的,陈旧的
aural 听觉的
rustic 乡村的
tactile 触觉的,有触觉的,能触知的
discernment 识别力,眼力,洞察力
tenacity 坚韧
hilarity 欢闹
versatile 通用的,万能的,多才多艺的,多面手的
prestige 声望,威望,威信
finesse 手腕,精密技巧,灵巧,策略,手段
prominence 突出,显著,突出物
ineptitude 不称职
notoriety 恶名,丑名,声名狼藉,远扬的名声
rectitude 正直,公正,清廉,笔直
invocative 祈求的,祈愿的
prospectus 内容说明书,样张
manifesto 宣言,声明
arbitration 仲裁,公断
mandate (书面)命令,训令,要求,(前国际联盟的)委任托管权
obligatory 义不容辞的,必须的
consultation 请教,咨询,磋商,[医]会诊
predominate 统治,成为主流,支配,占优势
illicit 违法的
prohitition 禁止,阻止,<美>禁酒令
oversight 勘漏,失察,疏忽,失败,小心照顾
superficiality 表面性的事物,浅薄
intuitive 直觉的
cosmetic 化妆用的
incoherent 不连贯的,语无伦次的
retroactive 反动的,追溯的,有追溯力的,从以往某天开始生效
pervasive 普遍深入的
incisive 深刻的,尖锐的,激烈的
deride 嘲弄,嘲笑
exuberant 充满
obstreperous 喧嚣的,任性的
pertinent 有关的,相干的,中肯的
peripheral 外围的
subtle 狡猾的,敏感的,微妙的,精细的,稀薄的
avid 渴望的
diffidence 缺乏自信
zelous 热心的
disingenuous 无诚意的
sanctimonious 假装神圣的
cantankerous 脾气坏的,爱吵架的,刚愎的,任性的
morose 郁闷的,乖僻的
flaunt 挥动,夸耀,炫耀,飘扬
tranquil 安静的
immobility 牢固,不动,固定
lament 悲伤,哀悼,恸哭,挽诗,悼词
turmoil 骚动,混乱
commemorate 纪念
plague 折磨,使苦恼,使得灾祸
eulogize 称赞,颂扬
pestilence 瘟疫
solemnize 隆重庆祝
sensational 使人感动的,非常好的
impeccable 没有缺点的,不会做坏事的
vapid 索然乏味的
esteem 把...看作,尊敬,尊重,认为
instigate 鼓动
renounce 断绝关系
attribution 属性
repudiate 批判
acrimonious 严厉的,辛辣的
flank 在...的侧面,侧翼包围,守侧面
hazardous 危险的,冒险的,碰运气的
overpower 制服,压倒,供给...过强的力量
orthodox 正统的,传统的,习惯的,保守的,东正教的
unorthodox 非正统的,异教的,异端的
bizarre 奇异的(指态度,容貌,款式等)
derivative 引出的,系出的
mundane 世界的,世俗的,平凡的
ungainly 难看的,不象样的,笨拙的
aesthetic 美学的,审美的,有审美感的
gullible 易受骗的
irrational 无理性的,失去理性的
proliferate 增生扩散
ossify 使骨化,使硬化
germinate 发芽,发育,使生长
incubate 孵卵
salvo (名誉等的)保全手段;(感情等的)缓和方法
encore 再演唱的要求,经要求而再唱
concession 让与；让步；妥协；迁就；优惠
demurral 异议,抗议,反对
daunting 使人畏缩的
solitary 寂寞的,冷落的,僻远的,荒凉的
latency 潜伏,潜在,潜伏物,性潜伏期（4岁或5岁至青春期）,[生理]
reluctant 不愿意的,勉强的(同意、答复等);因不愿意而行动迟缓的
tangible 可触知的,实在的;确实的;【律】有形的
recommence (使)重新开始
revoke 取消,废[解]除(权利、命令、诺言)
buttress 【建】撑墙,扶壁,(前)扶垛,支[肋]墩;【矿】支柱[壁]
relinguish 放弃(计划、政策、信仰、希望等);撤回;停止
impugn 责难,非难,驳斥
vitiate 损害;污染;使腐败;使(道德)败坏
contour 外形，轮廓，略图
remnant 剩余(物),残余(屑);剩货;碎布;[常用复]残存者,幸存者
parch 使焦干;使干透
marsh 湿地,沼泽,沼泽地
inundate 淹没,泛滥;使充满
aerate 使暴露空气中,使通气
swamp 沼泽,湿地,煤层聚水
incongruous 不适当的,不适宜的,不相称的
plausible 好象有道理的,似乎可能的,似乎真实的,似乎可信的
implausible 难以置信的,不似真实的
divisive 区分的,不和的,分裂的
transparent 透明的,显然的,明晰的
missive [古]将[已]送出去的,指令的
vignette 装饰图案,小插图
treatise 论文(on),论说
frolicsome [废]嬉戏的;爱闹着玩的;调皮的
gargantuan 巨大的,庞大的
tractable 可跟踪的
precipitate 突如其来的,陡然下降(或下落)的,贸然轻率的
consensus 一致同意,多数人的意见,舆论
trove 被发现的东西
replication (尤指对答辩的)回答;【律】原告的答辩;(绘画等的)复制,摹写;拷贝
nullify 使无效,废弃,取消;使无价值;抵消;使无意义
ambivalent 矛盾的,好恶相克的
quizzical 专爱挖苦人的,戏弄的;问询的,困惑的
euphoric 欣快症的;欣快的
figurative 比喻的,形容的;假借的;修饰多的,词藻华丽的;象征性的
obnoxious 可憎的;讨厌的
specious 外表美观,华而不实的,徒有其表的,似是而非的,外表美观的
fanfare 虚张声势,浮夸;铺张
concealment 隐藏,隐蔽,隐蔽处
transient 短促的,片刻的,一瞬间的;易逝的,虚无的
ostensible 可公开得,(指理由等)表面的,虚假的
synergistic 互相作用[促进]的
decorous 有礼貌的,正派的,高雅的,有教养的
avant-garde (艺术的)先锋派
muddle 混合,使微醉,使咬字不清晰,鬼混
terse (言谈,文笔等)精练的;简明的
transigent 自愿和解的人,妥协的人
plenitude 充实[足],充满;丰富,多;(权力等的)绝顶;【医】(胃等的)胀满
desecration 亵渎神圣,污辱
stagnation 停滞
renaissance 复兴,复活,新生,文艺复兴,文艺复兴时期
imperceptible 觉察不到的,感觉不到的,极细微的
perceptible 可察觉的,显而易见的,感觉得到的
percept 知觉的对象
minute 微小的,详细的,仔细而准确的
tenuous 微妙的,精细的,烦琐的
indivisible 不能分割的,除不尽的
guile 狡猾;诡计;骗术
guileless 不狡诈的,坦率的,正直的
circumspect 慎重的,细心的,周到的,精密的
machination 诡计
deft 敏捷熟练的,灵巧的
decode 解码,译解
amplify 放大,增强
mutable 易变的,性情不定的
itinerant 巡回的,流动的
teem 充满;富于(with)
ephemeral 朝生暮死的;短命的,暂时的;(疾病)一日即愈的
evaporate (使)蒸发,消失
interpose 放入,使介入
precarious 不确[稳,安]定的,不安全的
